Suburb House  Medians Stats  Book Report 2015,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Change ,Change ,Growth PA
Locality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Prelim 2016,2014-2015,2005-2015,2005-2015
,,,,,,,,,,,,,,,
EPSOM,246500,256000,260000,250000,260000,275000,325000,315000,322500,342500,340000,328000,-1,38,3.3
ESSENDON,510000,540000,712000,749000,780000,925000,875000,910000,860000,926500,1180500,1000000,27,131,8.8
ESSENDON NORTH,418000,410000,469000,590000,651000,815500,690000,686000,725000,840000,804000,875000,-4,92,6.8
ESSENDON WEST,427500,409000,520000,625000,680000,730000,742500,720000,720000,785000,920000,735000,17,115,8
EUMEMMERRING,209000,238500,230000,290000,320000,376000,350500,327500,353000,365000,402000,466500,10,92,6.8
EUREKA,207000,195500,197500,195000,241000,245000,257500,237000,243500,238500,247500,505000,4,20,1.8
EUROA,160000,158000,170000,182000,170000,167000,185000,215000,208000,230000,235500,280000,2,47,3.9
EYNESBURY,-,-,191000,248000,525000,295000,360000,400000,390500,390000,403500,340000,3,NA,NA
FAIRFIELD,460000,518500,680000,654000,677500,810000,783500,820000,900000,930000,1110000,1340000,19,141,9.2
FAIRHAVEN,510000,635000,635000,755000,725000,866000,715000,990000,785000,955000,782000,1000000,-18,53,4.4
FAWKNER,261000,258000,300500,344000,381500,460000,439000,408000,409500,443000,510000,600000,15,95,6.9
FERNTREE GULLY,272000,290000,318000,348500,379500,449000,430000,428500,451000,505000,591000,581000,17,117,8.1
FERNY CREEK,365000,310000,400000,459000,475000,580000,525000,456000,497500,492500,621000,770000,26,70,5.5
FINGAL,330000,246000,642000,485000,520000,515000,700000,600000,677500,730000,855000,912500,17,159,10
FITZROY,513500,600000,712000,744000,780000,801000,920000,849500,890000,1105000,1295000,711000,17,152,9.7
FITZROY NORTH,490000,555500,685000,720000,740000,900000,852500,840000,945000,1010000,1149500,1200000,14,135,8.9
FIVEWAYS,241500,290000,243500,246000,320000,310000,290000,343500,355000,315000,380000,364000,21,57,4.6
FLEMINGTON,386000,400000,512500,556000,580500,670000,657000,652000,741000,730000,822500,750000,13,113,7.9
FLINDERS,526500,705000,655000,680000,655000,760000,822000,710000,730000,808000,825000,967500,2,57,4.6
FLORA HILL,220000,225500,232000,234500,225000,267000,285000,309000,310000,323500,321000,346500,-1,46,3.9
FOOTSCRAY,314500,340000,410000,440000,505000,555000,552500,565000,593500,645000,688500,650000,7,119,8.2
FOREST HILL,350000,360000,475000,465000,503000,615000,560000,564000,650500,720500,890000,890000,24,154,9.8
FORREST,166000,200000,200000,110000,260000,175000,220000,202500,217500,300000,240000,NA,-20,45,3.8
FOSTER,200000,233000,205000,245000,222000,265000,265000,270000,298000,315000,325000,410000,3,63,5
FRANKSTON,237500,245500,280000,303000,315000,366000,357500,338000,350000,372000,426000,420500,15,79,6
FRANKSTON NORTH,169000,175500,210000,227000,237000,280000,277000,245000,255000,269000,297000,312500,10,76,5.8
FRANKSTON SOUTH,343500,353000,395000,423000,453000,525000,530000,510000,535000,555000,607000,608000,9,77,5.9
GARDEN CITY,555000,622500,800000,896000,900000,1062500,912500,965000,1055000,1055000,1320000,1350000,25,138,9.1
GARFIELD,235000,238000,227000,270000,275000,345000,340000,335000,405000,355000,370000,455000,4,57,4.6
GEELONG,334000,319000,352000,360000,382000,462500,495500,462500,500000,511500,599000,595000,17,79,6
GEELONG WEST,256500,264000,298000,322500,345000,385000,405000,410000,440000,469000,490000,522000,4,91,6.7
GEMBROOK,229000,255000,270000,305000,300000,340000,385000,349000,344000,400000,440000,477500,10,92,6.7
GISBORNE,270000,280000,310000,327500,361000,400000,435000,429500,495000,510000,549000,510000,8,103,7.4
GLADSTONE PARK,265000,270500,285000,324500,354000,426500,385000,380000,392500,400000,460000,481000,15,74,5.7
GLEN HUNTLY,510000,490000,827000,740000,835500,917500,805000,792500,955000,1135000,1243000,NA,10,144,9.3
GLEN IRIS,702000,790000,969500,1000000,1007000,1320000,1191500,1200000,1310000,1500000,1802000,1782500,20,157,9.9
GLEN WAVERLEY,419000,450000,580000,600000,660000,735000,710000,720000,815000,958000,1218000,1182000,27,191,11.3
GLENGARRY,168000,204000,209000,187000,225000,250000,231000,232000,232500,283000,286000,272000,1,70,5.5
GLENROY,275000,280000,319000,375000,420000,506000,452500,439000,453000,499000,558000,542500,12,103,7.3
GOLDEN BEACH,125000,158500,150000,172000,152500,150000,229000,206000,169500,172500,180000,156500,4,44,3.7
GOLDEN POINT (BALLARAT),181000,187500,197500,197000,210000,250000,258000,250000,265000,265000,258000,250000,-3,43,3.6
GOLDEN SQUARE,200000,201500,214500,212500,223000,261000,270000,287000,295000,305000,305000,307000,0,53,4.3
GORDON,198000,190000,215500,230000,262500,290000,300000,229500,278000,303000,297500,NA,-2,50,4.2
GOUGHS BAY,159000,185000,174000,175000,183000,193000,180000,220000,257500,247500,265000,239000,7,67,5.2
GOWANBRAE,300500,360000,360000,414500,450000,535000,555500,467500,616500,560000,581000,672500,4,94,6.8
GRANTVILLE,226000,180000,185000,198500,218000,254000,235000,245000,220000,255000,252500,242000,-1,12,1.1
GREEN LAKE,183000,162500,157500,205000,230000,230000,247500,247500,260000,254500,281500,330000,11,54,4.4
GREENSBOROUGH,334500,356500,391500,405000,440000,530000,513500,490000,534500,573000,635000,652500,11,90,6.6
GREENVALE,390000,400000,405000,427500,476000,517500,540000,537000,550000,539000,540000,550000,0,38,3.3
GROVEDALE,252500,253000,267500,285000,292000,335000,345000,340000,352000,362000,370000,375000,2,47,3.9
HADFIELD,281500,283000,325000,375500,418500,530000,482000,430000,453000,500000,551500,580000,10,96,7
HALLAM,238000,243000,265000,308000,329000,365000,360000,360000,364000,382000,424000,430000,11,78,5.9
HALLS GAP,244000,260000,233000,315000,230000,257500,255000,233500,184500,224500,245000,157500,9,0,0
HAMILTON,189500,194500,193500,205000,190000,206500,217500,194000,195000,200000,200000,205000,0,6,0.6
HAMLYN HEIGHTS,236000,228500,240000,272500,295000,345000,348500,339000,363500,366500,384000,385000,5,63,5
HAMPTON,676500,845000,1080000,1060000,1100000,1268000,1250000,1200000,1270000,1337500,1623000,2045000,21,140,9.1
HAMPTON EAST,443500,485000,655000,639000,654500,812500,745000,730000,770000,862500,1025000,1185000,19,131,8.7
HAMPTON PARK,220000,220500,248500,270000,295000,333000,335000,320000,330000,337500,370000,395000,10,68,5.3
HARCOURT,175000,195000,185000,227000,214000,350000,254000,294000,292000,358000,295000,NA,-18,69,5.4
HARKAWAY,270000,315000,324000,357500,389000,440000,490000,522500,552500,502500,550000,690000,9,104,7.4
HASTINGS,219000,225000,260000,280000,300000,355000,350000,345000,345000,368000,365000,407000,-1,67,5.2
HASTINGS WEST,178000,170000,186500,230000,229500,268500,272000,275000,280000,277000,299000,300500,8,68,5.3
HAWTHORN,714000,840000,1105000,1295000,1159500,1275000,1259000,1383500,1553500,1592500,1932500,1900000,21,171,10.5
HAWTHORN EAST,672000,837500,1100000,1007500,1128500,1392500,1190000,1296500,1110000,1554000,1800000,1519500,16,168,10.4
HEALESVILLE,239000,250000,295000,312500,312500,357500,380000,380000,385000,400000,450000,410000,13,88,6.5
HEATHCOTE,165000,163500,151500,150000,190000,217000,210000,220000,227500,260000,240000,267500,-8,45,3.8
HEATHERTON,468500,453000,498500,575000,569000,625000,632000,630000,630000,712000,771000,812000,8,64,5.1
HEATHMONT,315500,332500,370500,417000,435000,538000,508000,525000,589000,638000,763000,747500,20,142,9.2
HEIDELBERG,453500,485000,600000,632500,682000,820000,767500,750000,780000,850000,1035000,845000,22,128,8.6
HEIDELBERG HEIGHTS,324500,330000,385000,400000,460500,552000,537500,500000,536000,580000,670000,701000,16,107,7.5
HEIDELBERG WEST,255000,260000,320000,331500,372000,477500,420000,400000,425500,464000,580000,584000,25,127,8.6
HEPBURN,223500,222500,240000,270000,315000,317000,310000,275000,291000,330000,395000,545000,20,77,5.9
HEPBURN SPRINGS,256000,250000,257500,261000,343500,298500,308000,310000,340000,350000,375000,360000,7,46,3.9
HERNE HILL,225000,222500,238500,250000,280000,322000,325000,321000,350000,357000,368500,410000,3,64,5
HEYFIELD,102000,129000,119500,144500,155000,155000,175000,171500,200000,180000,182500,276500,1,79,6
HEYWOOD,125000,162500,160000,138000,149000,172000,167500,153000,142000,150000,173000,220000,15,38,3.3
HIGHETT,415500,455000,575000,602000,647500,743000,710000,675000,746000,850000,991000,1090000,17,139,9.1
HIGHTON,320000,340000,340000,342500,385000,435000,450000,460000,479000,510000,505000,520000,-1,58,4.7
HILLSIDE (MELTON),287500,280000,306000,320000,355000,418500,410000,420000,430000,441500,471000,466500,7,64,5.1
HOPETOUN,55000,76500,85000,75000,73500,63000,55500,81000,88000,95500,75000,112500,-21,36,3.2
HOPPERS CROSSING,227000,225000,235000,260000,283000,327500,327500,312500,322000,340000,365000,380000,7,61,4.9
HORSHAM,170000,170000,175000,180000,175500,186000,210000,220000,215000,215000,240000,237000,12,41,3.5
HUGHESDALE,420000,478500,617000,617500,671000,838000,725000,741000,817500,856000,1165000,1600000,36,177,10.7
HUNTINGDALE,331000,370000,514500,500000,560000,642500,610000,590000,659000,728000,855500,900000,17,158,10
HUNTLY,230000,242000,226000,200000,261000,269500,250000,255000,337500,325000,356500,354000,10,55,4.5
HURSTBRIDGE,321000,332000,366500,377500,402000,491000,457500,445000,482000,482000,547500,578000,14,71,5.5
INDENTED HEAD,248500,278500,293000,305000,321500,360000,347000,425000,390000,384000,380000,365000,-1,53,4.3
INGLEWOOD,98000,100000,115000,120000,130000,170000,208500,186500,160000,145000,200000,130000,38,104,7.4
INVERLEIGH,185000,182500,235000,230000,235000,230000,327500,246500,319500,321500,355000,NA,10,92,6.7
INVERLOCH,287500,292500,318000,332000,379000,422500,450000,422500,429000,440000,425000,442500,-3,48,4
INVERMAY PARK,305000,300000,320000,285000,305000,337500,363500,370000,378000,387000,405000,360000,5,33,2.9
IRONBARK,205000,197500,194500,251000,226500,232000,287000,280000,276000,280000,319000,289000,14,55,4.5
IRYMPLE,215000,220000,227500,208000,215000,213500,228000,215000,248000,228500,269000,267500,18,25,2.3
IVANHOE,575000,602500,755500,815000,791000,1025000,1035500,927500,1080000,1203000,1286000,1205000,7,124,8.4
IVANHOE EAST,738500,782000,970000,1177500,958000,1415000,1295000,1200000,1310000,1513000,1550000,2055000,2,110,7.7
JACANA,205000,214000,220000,275000,315000,391000,342500,310500,334000,345000,374500,375000,9,83,6.2
JACKASS FLAT,232500,180000,229000,229000,262000,275000,255000,357500,287500,360000,333500,396500,-7,43,3.7
JAMIESON,168000,183500,177000,191500,193500,242500,218000,267500,205000,222500,252000,178500,13,50,4.1
JAN JUC,370000,358000,429500,482500,467000,542500,590000,570000,557500,595000,620000,640000,4,68,5.3
JEERALANG NORTH,110000,120000,115000,107500,161500,152000,129000,159500,145500,187000,175000,100000,-6,59,4.8
JEPARIT,75000,74000,75000,59500,66500,66000,101500,59000,80500,63000,89000,89000,41,19,1.7
JOLIMONT,1750000,2108000,1950000,1500000,2180000,2300000,1660000,2700000,2625000,2762500,2350000,NA,-15,34,3
JUNCTION VILLAGE,205000,200000,232500,256500,276500,314500,287500,300000,312000,320000,370000,393000,16,80,6.1
JUNORTOUN,182000,259000,360000,369000,431500,420000,430000,465000,490000,508500,395000,406500,-22,117,8.1
KALIMNA,255000,210000,247000,224000,266500,265000,312500,268000,230000,285000,293500,311000,3,15,1.4
KALLISTA,292500,315000,355000,380500,410000,450000,482000,452500,425000,465000,523000,594000,12,79,6
KALORAMA,309500,290000,337500,372500,350000,442500,440000,420000,442500,451000,496000,607500,10,60,4.8
KANGAROO FLAT,207500,220000,217000,220000,233000,251000,269500,284500,292000,300000,304000,310000,1,47,3.9
KANGAROO GROUND SOUTH,436500,420000,446000,482500,515000,679500,606500,631000,600000,655000,650000,582000,-1,49,4.1
KANIVA,68000,90000,88500,88500,96000,94000,90000,79000,75000,87500,100000,125000,14,47,3.9
KEALBA,237500,238000,269000,295000,313500,385500,372500,375000,370000,390000,400000,441500,3,68,5.4
KEILOR,396500,390000,450000,498000,510000,603000,570000,580000,572500,633000,703000,850000,11,77,5.9
KEILOR DOWNS,266500,275000,295000,320500,370000,423000,405000,400000,400000,429000,493000,490000,15,85,6.3
KEILOR EAST,331000,329000,374000,410000,454000,580000,585000,527500,560000,599000,655000,661500,9,98,7.1
KEILOR LODGE,393500,320500,338000,386000,415000,460000,520000,480000,490000,500000,555500,552000,11,41,3.5
KEILOR PARK,318000,305000,326000,360000,407500,514500,500000,480000,455000,510000,564000,NA,11,77,5.9
KENNINGTON,230000,230000,244000,225000,263000,293500,305000,300000,351500,345000,335000,367500,-3,46,3.8
KENSINGTON,400000,435000,520000,514000,570000,672500,647500,649000,690000,730000,835000,755000,14,109,7.6
KERANG,118000,157500,140000,144000,147500,147500,146000,150000,148500,142500,152000,134000,7,29,2.6
KEW,751000,868000,1300000,1225000,1365000,1650000,1640000,1500000,1751000,1967500,2043500,2045000,4,172,10.5
KEW EAST,600000,641500,925000,872500,932000,1070000,1056000,1005000,1210000,1314000,1555500,NA,18,159,10
KEW NORTH,650000,722500,951000,875000,940000,1163000,1071000,995500,1260000,1301000,1635000,1675000,26,152,9.7
KEYSBOROUGH,262000,275000,300000,360000,375000,417500,430000,425000,440000,456000,562000,623500,23,115,7.9
KIALLA,312500,330000,361500,327000,320000,335000,360000,318500,360000,365000,367500,362500,1,18,1.6
KILCUNDA,197500,295000,387500,270000,292500,347500,330000,350000,375000,320000,400000,495500,25,103,7.3
KILLARA (WODONGA),226000,237000,253500,156000,212500,212500,212500,116500,355000,399500,350000,152000,-12,55,4.5
KILMORE,235000,257500,246500,250000,273500,327500,325000,312000,325000,319000,336500,329000,5,43,3.6
KILSYTH,270000,280000,317000,350000,367500,426500,430000,415000,435000,460000,540500,575000,18,100,7.2
KILSYTH SOUTH,344000,385000,393000,475000,437000,515500,520000,501000,535000,575000,676000,690000,18,97,7
KINGLAKE,193000,209000,240000,250000,265000,267500,306500,310000,330000,318000,340000,340000,7,76,5.8
KINGS PARK,212500,213000,225000,250000,285000,340000,330000,324000,315000,325000,355000,386500,9,67,5.3
KINGSBURY,280500,292500,338500,387500,422000,519000,475000,435000,469000,502500,560000,560000,11,100,7.2
KINGSVILLE,363000,391000,491500,458500,543500,630000,599500,597500,635000,701500,780000,650000,11,115,8
KNOXFIELD,285000,300000,355000,368000,420000,472000,481000,465000,500000,562500,687000,840000,22,141,9.2
KOO WEE RUP,217000,218000,225000,251500,280000,297000,334000,320000,315000,335000,343500,370000,3,58,4.7
KOONDROOK,120000,143000,140000,155000,139000,239500,150000,165000,147500,155000,198500,197500,28,65,5.2
KOROIT,208000,210000,240000,254000,210000,236000,266000,287000,275000,300000,292500,335500,-3,41,3.5
KORUMBURRA,175000,187000,179000,200000,215000,234000,240000,240000,237000,222500,261500,254500,18,49,4.1
KURUNJANG,190000,205000,214000,231500,242000,289000,300000,283000,287000,280000,288500,290000,3,52,4.3
KYABRAM,175000,187000,195000,210000,195000,210000,200000,217500,237000,235000,240000,241500,2,37,3.2
KYNETON,214000,215000,240000,246000,268500,330000,370000,372500,367000,403000,425500,405000,6,99,7.1
LAKE BOGA,145000,130000,177000,130000,149000,187000,212500,185000,200000,145000,210000,157000,45,45,3.8
LAKE GARDENS,295500,310000,307000,342000,350000,387000,400500,385000,445000,445000,461000,440000,4,56,4.5
LAKE TYERS BEACH,207500,228500,250000,255000,235000,286000,285000,274000,270000,354000,330000,280000,-7,59,4.7
LAKE WENDOUREE,362500,353500,473500,403000,404000,550000,630000,545000,634000,650000,690000,405000,6,90,6.6
LAKES ENTRANCE,228000,245000,255000,237500,260000,256500,300000,252500,267500,255000,255500,270000,0,12,1.2
LALOR,240000,250000,267500,295000,335000,385000,380000,360000,365000,385000,445000,465000,16,85,6.4
LANCEFIELD,220000,238000,227500,243000,260500,281000,321000,315000,380000,362000,360000,NA,-1,64,5
LANG LANG,195000,202000,215000,245000,254000,260000,310000,277500,285000,295000,320000,410000,8,64,5.1
LANGWARRIN,250000,268500,290000,315000,331500,394000,385000,375000,385000,420000,450000,470000,7,80,6.1
LARA,246000,250000,260000,273500,282000,325000,327500,335000,350000,340000,348000,312000,2,41,3.5
LARA LAKE,265000,275000,274500,277000,303000,338500,355000,355000,361000,394000,375000,387500,-5,42,3.5
LAUNCHING PLACE,230000,235500,270000,280000,284000,355000,343500,340000,330000,337500,366000,420000,8,59,4.7
LAVERTON,185500,185000,220000,265000,310000,351500,340000,320000,325000,360000,377000,390000,5,103,7.3
LAVERTON SOUTH,260000,270000,290000,324500,355000,405000,400000,390500,392500,420000,450000,497500,7,73,5.6
LENEVA,380000,339000,110000,360000,324000,394000,362000,382000,342000,356000,370500,NA,4,-3,-0.3
LEONGATHA,219000,235000,220000,240000,253000,285000,280000,287500,300000,295500,305000,260500,3,39,3.4
LEOPOLD,250000,262500,277500,282000,309000,340000,340000,350000,360000,367000,365000,345000,-1,46,3.9
LILYDALE,290000,325000,335000,361500,390000,440000,456000,420000,466500,482500,535000,620000,11,84,6.3
LINDENOW,210000,180000,167500,180500,123500,162500,175000,249500,200000,226000,212500,251500,-6,1,0.1
LINTON,125000,174000,130000,164500,175000,152500,168500,187500,163500,208000,152000,120500,-27,22,2
LISMORE,95500,118000,120000,100000,110000,134000,145000,132500,110000,109000,115000,NA,6,20,1.9
LOCH SPORT,144000,155000,140000,149500,151000,170000,165000,165000,169000,153500,145000,180000,-6,1,0.1
LOCKINGTON,135000,120000,150000,155000,124000,158000,146500,165000,175000,174000,220000,148000,26,63,5
LONG GULLY,167000,175000,171000,174000,180000,210000,220000,220000,232000,255000,244000,225000,-4,46,3.9
LONGWARRY,185000,165000,205000,197000,246500,262000,275000,286500,289500,297500,302000,317500,2,63,5
LORNE,656500,705000,755000,780000,752500,780000,832500,800000,855000,815000,876500,672500,8,33,2.9
LOVELY BANKS,257000,303500,302500,350000,353500,365000,385500,402000,360500,406500,388500,435000,-4,51,4.2
LOWER PLENTY,410000,411000,445500,483000,559000,640000,590000,620000,685000,675000,780000,665000,16,90,6.6
LUCAS,-,-,-,-,-,-,-,292500,348000,355000,389500,323000,10,NA,NA
LUCKNOW,205000,208000,182500,243500,227500,234000,247500,200000,235000,229000,230000,427500,1,12,1.2
LYNBROOK,286000,307000,327000,341000,380000,411000,424500,415000,430000,460000,500000,530000,9,75,5.7
LYNDHURST,360000,321500,330000,339000,357000,435000,441500,450000,465000,482500,545000,535000,13,51,4.2
LYSTERFIELD,345000,396500,420000,463000,496000,640000,642500,643500,681500,670000,772000,809000,15,124,8.4
LYSTERFIELD SOUTH,630000,550000,737500,685000,808000,1027500,1000000,830000,931500,1000000,1018500,NA,2,62,4.9
MACEDON,285000,305000,345000,360000,393000,473000,434500,525000,480000,460000,532500,470000,16,87,6.5
MACLEOD,335000,342500,402000,435000,480000,644000,600000,555000,650000,710000,748000,975000,5,123,8.4
MADDINGLEY,227000,218500,265000,265000,258000,290000,300000,308000,316500,320000,330000,328000,3,45,3.8
MAFFRA,170000,165000,177000,190000,200000,230500,230000,235000,226500,217500,227500,220000,5,34,3
MAIDEN GULLY,265000,280000,308500,330000,336500,385000,408500,424000,440000,415000,430000,457500,4,62,5
MAIDSTONE,295000,310000,400000,440000,460000,540000,539000,490000,531000,589500,628000,576000,7,113,7.8
MALDON,215000,240000,217500,235000,245000,280000,267500,279500,315000,327500,339000,325000,4,58,4.7
MALLACOOTA,271000,260000,250000,244000,272500,300000,278000,267500,285000,280000,268500,360000,-4,-1,-0.1
MALMSBURY,189000,202500,222500,266500,247500,314000,300000,332500,292500,317500,410000,339000,29,117,8.1
MALVERN,936000,995000,1405000,1363000,1550000,1740000,1540000,1512500,1470000,1917500,2210000,2710000,15,136,9
MALVERN EAST,657500,705000,868500,955500,951000,1105500,1100000,1037500,1190000,1385500,1605000,1100000,16,144,9.3
MANIFOLD HEIGHTS,292500,313000,292500,370000,410500,401000,447500,425000,532500,489000,489500,411500,0,67,5.3
MANOR LAKES,280000,287500,279000,289000,311500,349000,360000,345000,341000,360000,370500,380000,3,32,2.8
MANSFIELD,259500,235000,245000,230500,250000,280000,300000,315000,357500,347000,359000,392500,3,38,3.3
MARIBYRNONG,370500,449000,542000,550000,607500,682000,630000,614000,705500,750000,835000,832500,11,125,8.5
MARONG,185000,241500,195000,165000,219000,257500,285000,312500,310000,350000,367500,315000,5,99,7.1
MARSHALL,239500,252500,268000,270000,298500,367500,322500,365000,360000,382500,377000,418500,-1,58,4.7
MARYBOROUGH,135000,140000,130000,140000,152000,160000,180000,182500,194000,200000,186000,194000,-7,38,3.2
MARYSVILLE,227500,245000,271500,245000,240000,340000,395500,145000,180000,125000,125000,148000,0,-45,-5.8
MCCRAE,315000,360000,376000,435500,424000,560000,623000,555000,530000,535000,600000,567500,12,90,6.7
MCKENZIE HILL,255000,300000,325000,275000,306000,350000,394000,465000,365000,140000,158500,NA,13,-38,-4.6
MCKINNON,535000,634500,798000,793500,869000,970000,900000,944000,1025000,1215000,1446000,1725000,19,170,10.5
MEADOW HEIGHTS,232000,233000,240000,255000,300000,345000,321500,315000,316500,322000,350000,348000,9,51,4.2
MELTON,173000,175000,182000,205000,218000,250000,256000,250000,245000,240000,255000,265000,6,48,4
MELTON SOUTH,168500,172500,178000,195000,218000,248500,245500,230000,240000,242500,265000,270000,9,57,4.6
MELTON WEST,215000,220500,222000,249000,265000,292000,311000,308500,310000,305000,323500,331500,6,50,4.2
MENTONE,462500,506000,599500,643000,590000,680000,690000,651000,700000,805000,950000,770000,18,105,7.5
MENZIES CREEK,320000,317000,365000,372500,343000,482500,475000,465000,515000,428000,580000,528500,36,81,6.1
MERBEIN,149000,145000,156500,158500,151000,161000,157000,142500,140500,166500,180000,165000,8,21,1.9
MERINDA PARK,200500,196500,210500,240000,277000,300000,305000,285000,310000,310000,345000,360500,11,72,5.6
MERNDA,258000,309000,334000,323000,350000,389500,395000,374000,375000,370000,411500,412000,11,59,4.8
MERRICKS BEACH,600000,590000,650000,815000,630000,690000,880000,716500,597500,952500,842500,1200000,-12,40,3.5
METUNG,284000,260000,244000,230000,260000,302000,267500,350000,337500,310000,309500,287500,0,9,0.9
MICKLEHAM,350000,-,-,-,-,-,-,-,-,440500,380000,372500,-14,9,0.8
MIDDLE PARK,917500,900000,1342500,1410000,1300000,1500000,1322500,1426000,1600000,2125000,2317000,1620000,9,153,9.7
MILDURA,190000,199000,211500,200000,205000,220000,222000,225000,225500,245000,252000,265000,3,33,2.9
MILL PARK,283000,282000,307500,327500,366000,419000,410000,405000,408000,430500,485000,520000,13,71,5.5
MILLGROVE,165500,174000,188000,211000,216500,234000,235000,235000,245000,261000,272500,317500,4,65,5.1
MINERS REST,230000,252000,269000,265000,280000,320000,339000,325000,330500,328000,335000,325000,2,46,3.8
MINYIP,34500,66000,65000,80000,86500,85000,82500,81000,73500,95000,94000,60000,-1,174,10.6
MIRBOO NORTH,175000,164500,220000,209500,227500,244000,257000,252000,265000,250000,262000,279000,5,50,4.1
MITCHAM,355500,365000,460000,468500,506000,627500,590500,583000,650000,730000,887000,950500,22,150,9.6
MITCHELL PARK,200000,188500,191000,228000,229000,257000,247500,270000,281000,254500,260000,NA,2,30,2.7
MOE,118500,125000,130000,126500,135000,150000,165000,165000,155000,170000,164000,148000,-4,38,3.3
MOGGS CREEK,460500,410000,680000,925000,607500,636000,580000,650000,690000,690000,670000,697500,-3,45,3.8
MONBULK,250000,264000,303000,316000,325500,420000,392500,380000,395000,425000,471500,440000,11,89,6.6
MONT ALBERT,673500,705000,955000,1105000,1068500,1310000,1310000,1177500,1316000,1490000,1835500,NA,23,173,10.5
MONT ALBERT NORTH,492000,525000,725000,681500,795000,970000,837500,780000,995000,1100000,1355000,1271000,23,175,10.7
MONTMORENCY,332500,355000,415000,430000,474000,580000,570000,560000,570500,617000,730000,750000,18,119,8.2
MONTROSE,280000,293000,332500,358000,387000,439000,435000,426000,445000,476500,560000,637500,18,100,7.2
MOONEE PONDS,459000,525000,620000,655000,678500,849000,772500,770000,825000,905000,997000,940000,10,117,8.1
MOORABBIN,384000,430000,517500,535000,587500,706500,652000,630500,683500,767000,855000,851500,11,123,8.3
MOOROOLBARK,277000,286500,325000,349000,370000,445000,435000,425000,440000,470000,560000,561000,19,102,7.3
MOOROOPNA,186000,210000,202500,200000,205000,222000,215000,217500,207000,215000,230000,240000,7,24,2.1
MORDIALLOC,376500,400000,491000,535000,568000,645000,640000,640000,680000,752500,850000,745000,13,126,8.5
MORNINGTON,314500,345000,365000,405000,426000,510000,520000,504500,525000,560000,630000,600000,13,100,7.2
MORTLAKE,135000,150000,135000,156000,156000,150000,146000,152000,129500,152500,120000,133500,-21,-11,-1.2
MORWELL,118500,123000,127500,135000,140000,153000,159500,150500,160000,150000,150000,125000,0,27,2.4
MOUNT BEAUTY,158500,175000,180000,190500,180000,195000,173000,140000,180000,200000,189500,180000,-5,20,1.8
MOUNT CLEAR,220000,233000,239000,227500,235500,265000,286000,305000,286000,291000,322000,322500,11,46,3.9
MOUNT DANDENONG,305000,337500,375500,442500,450000,476000,447500,476500,450000,610000,605000,480000,-1,98,7.1
MOUNT DUNEED,-,-,-,-,-,267000,190000,480000,286000,532000,545000,NA,2,NA,NA
MOUNT ELIZA,490000,499000,550000,576000,621500,730000,722500,680000,750000,775000,830000,894000,7,69,5.4
MOUNT EVELYN,266000,271000,297000,332000,340000,388000,400500,393000,406000,430000,494000,546500,15,86,6.4
MOUNT HELEN,250000,258000,266000,280000,307500,309500,355000,325000,344000,367500,355000,345000,-3,42,3.6
MOUNT MACEDON,500000,410000,415000,424000,460000,520000,525000,543000,670000,600000,642500,NA,7,28,2.5
MOUNT MARTHA,415000,480000,501000,555000,605500,705500,690000,715500,727500,725000,767000,850000,6,85,6.3
MOUNT PLEASANT,197000,176000,179000,212500,211000,239000,248500,259000,287000,269500,293500,270000,9,49,4.1
MOUNT WAVERLEY,425000,462000,603500,650000,690000,800000,745000,733500,819000,950000,1269000,1054000,34,199,11.6
MULGRAVE,332500,355000,420500,455500,477500,550000,530500,531000,575000,627000,765000,700000,22,130,8.7
MURCHISON,143000,158000,160000,180000,166500,177500,165000,183000,186000,155000,165000,184000,6,16,1.5
MURRUMBEENA,506500,543000,645500,709000,755500,840000,790000,777500,870000,983000,1200000,1325000,22,137,9
MURTOA,80000,75000,77000,83000,92500,85000,133000,108500,95000,110000,91000,NA,-17,14,1.3
MYRTLEFORD,198000,225000,231500,192000,194000,179000,219000,213000,220000,245000,240000,280000,-2,21,1.9
NAGAMBIE,155000,212500,225500,235000,210500,351500,248000,255000,315000,378000,360500,325000,-5,133,8.8
NARRE WARREN,242000,259500,272000,300000,321500,369000,363000,356000,370000,385500,430000,447500,12,78,5.9
NARRE WARREN NORTH,362000,403500,481000,550000,664000,710000,730000,660000,687000,831500,780000,690000,-6,115,8
NARRE WARREN SOUTH,283000,299000,310000,335000,360500,405000,405000,405000,410000,440000,480000,485000,9,70,5.4
NATHALIA,130000,150000,160000,145500,165000,155000,150000,205000,165000,190500,178000,175000,-7,37,3.2
NEERIM SOUTH,239000,179500,201500,250000,262500,240000,275000,265000,340000,342500,280000,366500,-18,17,1.6
NERRINA,235000,185000,233000,400000,300000,381000,387000,467500,455000,482500,522500,445000,8,122,8.3
NEW GISBORNE,310000,377500,357000,347500,368000,465000,492000,475000,495000,515000,498000,575000,-3,61,4.9
NEWBOROUGH,145500,156500,160500,171500,173000,197000,186000,213500,211500,217500,220000,225000,1,51,4.2
NEWCOMB,189500,190000,214000,210000,228000,280000,275000,275000,280000,292000,290500,269000,-1,53,4.4
NEWINGTON,221500,245000,257500,237000,253500,290500,290000,300000,320000,346500,345000,355000,0,56,4.5
