,region_id,english_only_2011,arabic_2011,chinese_2011,greek_2011,italian_2011,vietnamese_2011
145,flemington,4609,397,866,101,170,471
146,flemington racecourse,135,0,20,3,4,0
147,flinders,4729,0,3,15,31,0
148,flora hill  spring gully,8382,17,81,16,30,37
149,footscray,5353,106,1084,298,243,1562
150,forest hill,6389,33,1390,321,174,182
151,foster,7409,0,5,11,64,4
152,frankston,17690,90,282,209,178,24
153,frankston north,15919,93,172,166,99,20
154,frankston south,15198,34,126,158,190,11
155,french island,84,0,0,0,3,0
156,gannawarra,5964,6,3,0,10,0
157,geelong,10613,31,164,123,259,33
158,geelong west  hamlyn heights,15724,40,123,137,421,36
159,gisborne,9961,10,45,36,108,9
160,gladstone park  westmeadows,11003,810,216,541,1209,95
161,glen iris  east,12642,22,781,536,225,128
162,glen waverley  east,10747,74,4349,462,197,244
163,glen waverley  west,8534,83,4512,534,211,370
164,glenelg ,8142,3,6,7,8,6
165,glenroy  hadfield,13413,2469,586,852,2353,278
166,golden plains  north,3703,3,0,6,3,3
167,golden plains  south,5661,0,3,5,29,3
168,gordon ,4960,3,3,12,30,6
169,greensborough,16999,89,297,252,589,45
170,greenvale  bulla,6799,660,105,376,1593,52
171,grovedale,17688,28,156,25,113,21
172,hallam,4664,391,375,85,146,75
173,hamilton ,9491,0,39,10,8,10
174,hampton,13251,110,277,389,264,23
175,hampton park  lynbrook,11763,314,660,143,131,370
176,hastings  somers,18488,17,29,22,44,18
177,hawthorn,14557,126,1265,377,278,236
178,hawthorn east,9752,41,790,341,198,65
179,healesville  yarra glen,11716,10,21,32,90,3
180,heathcote,3624,7,6,6,20,3
181,heidelberg  rosanna,10402,107,518,287,681,48
182,heidelberg west,8169,402,611,326,341,254
183,highton,16738,103,296,74,188,21
184,hillside,9694,411,232,464,630,120
185,hoppers crossing  north,12726,357,289,210,491,149
186,hoppers crossing  south,12213,322,436,155,341,200
187,horsham,14624,19,46,21,89,4
188,horsham region,3165,0,3,0,0,0
189,hughesdale,3897,34,616,906,150,65
190,hurstbridge,3271,4,3,9,17,0
191,irymple,5596,0,20,75,264,5
192,ivanhoe,8239,55,548,386,420,76
193,ivanhoe east  eaglemont,5901,50,215,260,462,28
194,kangaroo flat  golden square,16861,13,71,30,22,6
195,keilor,5562,133,132,307,845,93
196,keilor downs,6332,510,334,711,609,987
197,keilor east,12455,472,909,1373,3531,984
198,kensington,6605,85,817,61,189,336
199,kerang,3551,0,7,8,6,0
200,kew,17058,87,1877,749,553,303
201,kew east,4372,29,446,328,264,74
202,keysborough,7913,208,1883,441,395,2671
203,kilmore  broadford,10758,7,65,33,88,3
204,kilsyth,7529,10,31,28,50,6
205,kinglake,3126,0,3,20,22,0
206,kings park ,4096,390,614,297,195,2547
207,kingsbury,5289,197,1406,419,497,391
208,knoxfield  scoresby,9553,54,951,169,134,137
209,koo wee rup,5923,0,10,17,108,0
210,korumburra,7990,0,10,14,106,0
211,kyabram,9625,7,15,18,176,0
212,kyneton,8103,9,27,31,40,3
213,lake king,0,0,0,0,0,0
214,lakes entrance,8551,6,38,32,69,3
215,lalor,6143,2036,449,1635,1961,1192
216,langwarrin,20602,73,83,94,143,9
217,lara,13141,34,30,33,115,82
218,laverton,2814,87,169,33,42,85
219,leongatha,9308,3,12,7,126,12
220,leopold,9060,10,41,48,118,12
221,lilydale  coldstream,16032,25,103,36,379,9
222,lockington  gunbower,3412,0,3,3,8,0
223,loddon,6377,6,6,12,15,3
224,longford  loch sport,3352,0,0,7,12,0
225,lorne  anglesea,4213,3,35,22,23,9
226,lynbrook  lyndhurst,6158,123,472,122,92,164
227,lysterfield,5298,99,113,124,166,8
228,macedon,2890,0,0,7,24,0
229,maffra,12109,3,32,3,18,5
230,maiden gully,4135,0,5,9,3,3
231,malvern  glen iris,14499,36,780,750,221,53
232,malvern east,13995,34,1392,1216,327,166
233,mansfield ,9567,15,86,36,42,5
234,maribyrnong,4534,78,1331,192,373,1315
235,maryborough ,7139,3,8,8,15,3
236,maryborough region,4629,0,7,3,12,0
237,meadow heights,3707,2282,58,202,153,735
238,melbourne,11706,371,5805,98,221,245
239,melbourne airport,286,0,0,3,10,0
240,melton,14001,170,109,149,163,68
241,melton south,12680,87,85,97,144,93
242,melton west,11391,124,71,80,115,91
243,mentone,8863,53,300,499,190,16
244,merbein,4239,0,0,19,96,0
245,migratory  offshore  shipping ,801,0,8,8,8,3
246,mildura,25793,130,122,261,655,99
247,mildura region,3581,3,26,5,5,9
248,mill park  north,10003,706,514,971,1391,167
249,mill park  south,6849,461,463,711,598,266
250,mitcham ,10802,53,1325,119,263,130
251,moe  newborough,14611,33,65,81,88,12
252,moira,2358,0,0,0,9,0
253,monbulk  silvan,4862,3,19,6,83,0
254,montmorency  briar hill,13689,39,161,125,262,14
255,montrose,5912,7,17,10,34,0
256,moonee ponds,9495,74,279,482,1179,91
257,moorabbin  heatherton,5462,95,399,378,207,27
258,moorabbin airport,0,0,0,0,0,0
259,mooroolbark,18028,67,244,80,236,22
260,mooroopna,6848,12,20,9,115,0
261,mordialloc  parkdale,15190,38,295,544,260,20
262,mornington,19714,12,91,122,174,6
263,morwell,11505,113,71,115,534,11
264,mount baw baw region,5595,0,9,8,33,0
265,mount dandenong  olinda,8646,0,25,37,41,0
266,mount eliza,15031,23,184,127,104,8
267,mount evelyn,8629,15,27,29,56,16
268,mount martha,15017,11,25,94,137,3
269,mount waverley  north,8747,50,2198,846,219,144
270,mount waverley  south,10336,69,1983,1079,375,189
271,moyne  east,6174,3,8,0,4,0
272,moyne  west,8259,3,16,6,20,3
273,mulgrave,8992,202,1803,1574,649,564
274,murrumbeena,5628,40,541,521,141,48
275,myrtleford,3802,11,12,0,432,0
276,nagambie,3108,3,13,14,22,0
277,narre warren,17076,402,723,224,301,168
278,narre warren north,5232,63,152,102,227,16
279,narre warren south,19363,451,487,211,269,100
280,newcomb  moolap,12929,17,40,41,218,39
281,newport,11823,485,198,496,402,106
282,newtown ,8478,22,117,35,99,9
283,nhill region,6536,4,13,9,12,0
284,niddrie  essendon west,4702,55,135,167,378,45
285,noble park,10447,532,1479,584,542,2967
286,noble park north,3134,239,263,500,191,391
287,north geelong  bell park,9261,38,81,83,501,35
288,north melbourne,8275,292,2119,110,254,345
289,northcote,16031,235,434,2175,1015,263
290,numurkah,11170,6,4,13,81,0
291,nunawading,7307,40,1158,170,165,201
292,oakleigh  huntingdale,10470,189,1725,2383,944,209
293,ocean grove  barwon heads,16477,3,38,38,74,6
294,orbost,6271,0,26,0,32,3
295,ormond  glen huntly,6891,44,1058,407,126,79
296,otway,2751,6,7,23,8,0
297,pakenham  north,11122,58,52,49,63,3
298,pakenham  south,17840,112,125,43,90,57
299,panton hill  st andrews,4565,0,12,16,34,3
300,parkville,4986,35,808,69,147,43
301,pascoe vale,12492,861,526,780,1929,103
302,pascoe vale south,5986,268,108,895,1051,68
303,paynesville,5064,3,21,12,10,6
304,pearcedale  tooradin,6835,6,12,55,51,0
305,phillip island,8208,9,44,37,76,10
306,plenty  yarrambat,7220,84,113,176,435,3
307,point cook,18647,425,2793,412,439,503
308,point nepean,13183,13,30,220,348,6
309,port melbourne,10457,56,286,869,237,70
310,port melbourne industrial,6,0,0,0,0,0
311,portarlington,5563,0,13,118,80,7
312,portland,9628,13,34,3,12,9
313,prahran  windsor,12237,62,545,1100,207,93
314,preston,15640,964,1734,2302,2096,839
315,queenscliff,3616,0,12,11,23,3
316,red cliffs,4697,3,5,8,163,10
317,research  north warrandyte,5885,6,31,55,76,3
318,reservoir  east,12435,990,1208,1666,1967,749
319,reservoir  west,10185,1447,980,1210,4032,338
320,richmond ,17548,106,1436,1307,314,1723
321,riddells creek,3473,0,6,14,28,0
322,ringwood,11791,84,938,119,162,108
323,ringwood east,15756,51,618,105,120,80
324,ringwood north,7793,24,250,76,174,26
325,robinvale,2007,4,138,64,194,167
326,rochester,3422,0,8,6,7,0
327,rockbank  mount cottrell,1171,5,10,36,39,10
328,romsey,7717,17,8,24,83,6
329,rosebud  mccrae,17020,12,35,149,244,9
330,rosedale,3401,0,0,10,18,3
331,rowville  central,10520,253,1095,299,347,140
332,rowville  north,5912,101,480,114,119,104
333,rowville  south,7176,272,501,238,261,125
334,roxburgh park  somerton,6116,2654,250,274,549,276
335,rushworth,3722,8,4,0,27,0
336,rutherglen,3415,3,3,0,6,0
337,sale,12746,7,68,20,54,27
338,sandringham  black rock,12879,42,117,229,166,10
339,seabrook,3127,143,142,95,98,90
340,seaford ,13380,42,105,156,105,16
341,seddon  kingsville,5478,45,229,298,151,419
342,seymour,5590,3,80,19,64,0
343,seymour region,4017,3,3,8,37,6
344,shepparton  north,13898,163,104,60,330,13
345,shepparton  south,16110,854,115,126,694,8
346,shepparton region  east,3589,0,6,11,47,0
347,shepparton region  west,8114,12,25,23,419,11
348,skye  sandhurst,8610,33,92,106,74,23
349,smythes creek,3406,0,0,7,0,0
350,somerville,16099,8,28,59,94,7
