,region_id,population_2011
281,newport,15893
282,newtown ,9548
283,nhill region,6993
284,niddrie  essendon west,6222
285,noble park,28535
286,noble park north,7373
287,north geelong  bell park,13905
288,north melbourne,16643
289,northcote,22673
290,numurkah,12013
291,nunawading,10896
292,oakleigh  huntingdale,20312
293,ocean grove  barwon heads,17651
294,orbost,6711
295,ormond  glen huntly,12360
296,otway,3250
297,pakenham  north,12534
298,pakenham  south,21172
299,panton hill  st andrews,4903
300,parkville,8193
301,pascoe vale,20602
302,pascoe vale south,9407
303,paynesville,5454
304,pearcedale  tooradin,7324
305,phillip island,9299
306,plenty  yarrambat,8863
307,point cook,32513
308,point nepean,15272
309,port melbourne,14313
310,port melbourne industrial,5
311,portarlington,6169
312,portland,10421
313,prahran  windsor,17786
314,preston,30184
315,queenscliff,3906
316,red cliffs,5370
317,research  north warrandyte,6479
318,reservoir  east,24611
319,reservoir  west,22924
320,richmond ,26600
321,riddells creek,3652
322,ringwood,15872
323,ringwood east,18863
324,ringwood north,9065
325,robinvale,3622
326,rochester,3650
327,rockbank  mount cottrell,2662
328,romsey,8425
329,rosebud  mccrae,18996
330,rosedale,4449
331,rowville  central,15024
332,rowville  north,7988
333,rowville  south,10708
334,roxburgh park  somerton,20114
335,rushworth,3994
336,rutherglen,3608
337,sale,14081
338,sandringham  black rock,14990
339,seabrook,4946
340,seaford ,15745
341,seddon  kingsville,8369
342,seymour,6322
343,seymour region,4348
344,shepparton  north,17216
345,shepparton  south,21291
346,shepparton region  east,3821
347,shepparton region  west,9532
348,skye  sandhurst,10471
349,smythes creek,3663
350,somerville,17122
351,south melbourne,10096
352,south morang,38041
353,south yarra  east,15601
354,south yarra  west,6691
355,southbank,15599
356,southern grampians,6268
357,springvale,19783
358,springvale south,12181
359,st albans  north,18913
360,st albans  south,16444
361,st arnaud,3476
362,st kilda,23887
363,st kilda east,15681
364,stawell,8351
365,strathfieldsaye,6806
366,strathmore,8924
367,sunbury,12502
368,sunbury  south,23884
369,sunshine,8793
370,sunshine north,10603
371,sunshine west,16734
372,surrey hills (east)  mont albert,9763
373,surrey hills (west)  canterbury,15701
374,swan hill,10460
375,swan hill region,6434
376,sydenham,11476
377,tarneit,21965
378,taylors hill,15398
379,taylors lakes,17904
380,templestowe,16338
381,templestowe lower,13042
382,thomastown,20336
383,thornbury,17377
384,toorak,12805
385,torquay,14621
386,towong,5622
387,trafalgar ,6807
388,traralgon,25418
389,truganina,11293
390,tullamarine,6514
391,upper yarra valley,233
392,upwey  tecoma,9612
393,vermont,9774
394,vermont south,11316
395,viewbank  yallambie,18039
396,wallan,11777
397,wandin  seville,7266
398,wangaratta,17592
399,wangaratta region,8894
400,wantirna,14020
401,wantirna south,17306
402,warragul,16515
403,warrandyte  wonga park,9871
404,warrnambool  north,19037
405,warrnambool  south,13148
406,watsonia,8877
407,wattle glen  diamond creek,13179
408,wendouree  miners rest,13927
409,werribee,29458
410,werribee  south,10512
411,west footscray  tottenham,10225
412,west melbourne,0
413,west wimmera,2808
414,west wodonga,14329
415,wheelers hill,18973
416,white hills  ascot,8589
417,whittlesea,7230
418,williamstown,14795
419,wilsons promontory,9
420,winchelsea,5539
421,wodonga,21029
422,wonthaggi  inverloch,20271
423,woodend,6285
424,wyndham vale,17229
425,yackandandah,4295
426,yallourn north  glengarry,4309
427,yarra  north,8041
428,yarra valley,15696
429,yarram,5075
430,yarraville,13591
431,yarrawonga,7085
432,yarriambiack,6792
433,yea,3339
