locality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,growth_pa
HADFIELD,281500,283000,325000,375500,418500,530000,482000,430000,453000,500000,551500,7
HALLAM,238000,243000,265000,308000,329000,365000,360000,360000,364000,382000,424000,5.9
HALLS GAP,244000,260000,233000,315000,230000,257500,255000,233500,184500,224500,245000,0
HAMILTON,189500,194500,193500,205000,190000,206500,217500,194000,195000,200000,200000,0.6
HAMLYN HEIGHTS,236000,228500,240000,272500,295000,345000,348500,339000,363500,366500,384000,5
HAMPTON,676500,845000,1080000,1060000,1100000,1268000,1250000,1200000,1270000,1337500,1623000,9.1
HAMPTON EAST,443500,485000,655000,639000,654500,812500,745000,730000,770000,862500,1025000,8.7
HAMPTON PARK,220000,220500,248500,270000,295000,333000,335000,320000,330000,337500,370000,5.3
HARCOURT,175000,195000,185000,227000,214000,350000,254000,294000,292000,358000,295000,5.4
HARKAWAY,270000,315000,324000,357500,389000,440000,490000,522500,552500,502500,550000,7.4
HASTINGS,219000,225000,260000,280000,300000,355000,350000,345000,345000,368000,365000,5.2
HASTINGS WEST,178000,170000,186500,230000,229500,268500,272000,275000,280000,277000,299000,5.3
HAWTHORN,714000,840000,1105000,1295000,1159500,1275000,1259000,1383500,1553500,1592500,1932500,10.5
HAWTHORN EAST,672000,837500,1100000,1007500,1128500,1392500,1190000,1296500,1110000,1554000,1800000,10.4
HEALESVILLE,239000,250000,295000,312500,312500,357500,380000,380000,385000,400000,450000,6.5
HEATHCOTE,165000,163500,151500,150000,190000,217000,210000,220000,227500,260000,240000,3.8
HEATHERTON,468500,453000,498500,575000,569000,625000,632000,630000,630000,712000,771000,5.1
HEATHMONT,315500,332500,370500,417000,435000,538000,508000,525000,589000,638000,763000,9.2
HEIDELBERG,453500,485000,600000,632500,682000,820000,767500,750000,780000,850000,1035000,8.6
HEIDELBERG HEIGHTS,324500,330000,385000,400000,460500,552000,537500,500000,536000,580000,670000,7.5
HEIDELBERG WEST,255000,260000,320000,331500,372000,477500,420000,400000,425500,464000,580000,8.6
HEPBURN,223500,222500,240000,270000,315000,317000,310000,275000,291000,330000,395000,5.9
HEPBURN SPRINGS,256000,250000,257500,261000,343500,298500,308000,310000,340000,350000,375000,3.9
HERNE HILL,225000,222500,238500,250000,280000,322000,325000,321000,350000,357000,368500,5
HEYFIELD,102000,129000,119500,144500,155000,155000,175000,171500,200000,180000,182500,6
HEYWOOD,125000,162500,160000,138000,149000,172000,167500,153000,142000,150000,173000,3.3
HIGHETT,415500,455000,575000,602000,647500,743000,710000,675000,746000,850000,991000,9.1
HIGHTON,320000,340000,340000,342500,385000,435000,450000,460000,479000,510000,505000,4.7
HILLSIDE (MELTON),287500,280000,306000,320000,355000,418500,410000,420000,430000,441500,471000,5.1
HOPETOUN,55000,76500,85000,75000,73500,63000,55500,81000,88000,95500,75000,3.2
HOPPERS CROSSING,227000,225000,235000,260000,283000,327500,327500,312500,322000,340000,365000,4.9
HORSHAM,170000,170000,175000,180000,175500,186000,210000,220000,215000,215000,240000,3.5
HUGHESDALE,420000,478500,617000,617500,671000,838000,725000,741000,817500,856000,1165000,10.7
HUNTINGDALE,331000,370000,514500,500000,560000,642500,610000,590000,659000,728000,855500,10
HUNTLY,230000,242000,226000,200000,261000,269500,250000,255000,337500,325000,356500,4.5
HURSTBRIDGE,321000,332000,366500,377500,402000,491000,457500,445000,482000,482000,547500,5.5
INDENTED HEAD,248500,278500,293000,305000,321500,360000,347000,425000,390000,384000,380000,4.3
INGLEWOOD,98000,100000,115000,120000,130000,170000,208500,186500,160000,145000,200000,7.4
INVERLEIGH,185000,182500,235000,230000,235000,230000,327500,246500,319500,321500,355000,6.7
INVERLOCH,287500,292500,318000,332000,379000,422500,450000,422500,429000,440000,425000,4
INVERMAY PARK,305000,300000,320000,285000,305000,337500,363500,370000,378000,387000,405000,2.9
IRONBARK,205000,197500,194500,251000,226500,232000,287000,280000,276000,280000,319000,4.5
IRYMPLE,215000,220000,227500,208000,215000,213500,228000,215000,248000,228500,269000,2.3
IVANHOE,575000,602500,755500,815000,791000,1025000,1035500,927500,1080000,1203000,1286000,8.4
IVANHOE EAST,738500,782000,970000,1177500,958000,1415000,1295000,1200000,1310000,1513000,1550000,7.7
JACANA,205000,214000,220000,275000,315000,391000,342500,310500,334000,345000,374500,6.2
JACKASS FLAT,232500,180000,229000,229000,262000,275000,255000,357500,287500,360000,333500,3.7
JAMIESON,168000,183500,177000,191500,193500,242500,218000,267500,205000,222500,252000,4.1
JAN JUC,370000,358000,429500,482500,467000,542500,590000,570000,557500,595000,620000,5.3
JEERALANG NORTH,110000,120000,115000,107500,161500,152000,129000,159500,145500,187000,175000,4.8
JEPARIT,75000,74000,75000,59500,66500,66000,101500,59000,80500,63000,89000,1.7
JOLIMONT,1750000,2108000,1950000,1500000,2180000,2300000,1660000,2700000,2625000,2762500,2350000,3
JUNCTION VILLAGE,205000,200000,232500,256500,276500,314500,287500,300000,312000,320000,370000,6.1
JUNORTOUN,182000,259000,360000,369000,431500,420000,430000,465000,490000,508500,395000,8.1
KALIMNA,255000,210000,247000,224000,266500,265000,312500,268000,230000,285000,293500,1.4
KALLISTA,292500,315000,355000,380500,410000,450000,482000,452500,425000,465000,523000,6
KALORAMA,309500,290000,337500,372500,350000,442500,440000,420000,442500,451000,496000,4.8
KANGAROO FLAT,207500,220000,217000,220000,233000,251000,269500,284500,292000,300000,304000,3.9
KANGAROO GROUND SOUTH,436500,420000,446000,482500,515000,679500,606500,631000,600000,655000,650000,4.1
KANIVA,68000,90000,88500,88500,96000,94000,90000,79000,75000,87500,100000,3.9
KEALBA,237500,238000,269000,295000,313500,385500,372500,375000,370000,390000,400000,5.4
KEILOR,396500,390000,450000,498000,510000,603000,570000,580000,572500,633000,703000,5.9
KEILOR DOWNS,266500,275000,295000,320500,370000,423000,405000,400000,400000,429000,493000,6.3
KEILOR EAST,331000,329000,374000,410000,454000,580000,585000,527500,560000,599000,655000,7.1
KEILOR LODGE,393500,320500,338000,386000,415000,460000,520000,480000,490000,500000,555500,3.5
KEILOR PARK,318000,305000,326000,360000,407500,514500,500000,480000,455000,510000,564000,5.9
KENNINGTON,230000,230000,244000,225000,263000,293500,305000,300000,351500,345000,335000,3.8
KENSINGTON,400000,435000,520000,514000,570000,672500,647500,649000,690000,730000,835000,7.6
KERANG,118000,157500,140000,144000,147500,147500,146000,150000,148500,142500,152000,2.6
KEW,751000,868000,1300000,1225000,1365000,1650000,1640000,1500000,1751000,1967500,2043500,10.5
KEW EAST,600000,641500,925000,872500,932000,1070000,1056000,1005000,1210000,1314000,1555500,10
KEW NORTH,650000,722500,951000,875000,940000,1163000,1071000,995500,1260000,1301000,1635000,9.7
KEYSBOROUGH,262000,275000,300000,360000,375000,417500,430000,425000,440000,456000,562000,7.9
KIALLA,312500,330000,361500,327000,320000,335000,360000,318500,360000,365000,367500,1.6
KILCUNDA,197500,295000,387500,270000,292500,347500,330000,350000,375000,320000,400000,7.3
KILLARA (WODONGA),226000,237000,253500,156000,212500,212500,212500,116500,355000,399500,350000,4.5
KILMORE,235000,257500,246500,250000,273500,327500,325000,312000,325000,319000,336500,3.6
KILSYTH,270000,280000,317000,350000,367500,426500,430000,415000,435000,460000,540500,7.2
KILSYTH SOUTH,344000,385000,393000,475000,437000,515500,520000,501000,535000,575000,676000,7
KINGLAKE,193000,209000,240000,250000,265000,267500,306500,310000,330000,318000,340000,5.8
KINGS PARK,212500,213000,225000,250000,285000,340000,330000,324000,315000,325000,355000,5.3
KINGSBURY,280500,292500,338500,387500,422000,519000,475000,435000,469000,502500,560000,7.2
KINGSVILLE,363000,391000,491500,458500,543500,630000,599500,597500,635000,701500,780000,8
KNOXFIELD,285000,300000,355000,368000,420000,472000,481000,465000,500000,562500,687000,9.2
KOO WEE RUP,217000,218000,225000,251500,280000,297000,334000,320000,315000,335000,343500,4.7
KOONDROOK,120000,143000,140000,155000,139000,239500,150000,165000,147500,155000,198500,5.2
KOROIT,208000,210000,240000,254000,210000,236000,266000,287000,275000,300000,292500,3.5
KORUMBURRA,175000,187000,179000,200000,215000,234000,240000,240000,237000,222500,261500,4.1
KURUNJANG,190000,205000,214000,231500,242000,289000,300000,283000,287000,280000,288500,4.3
KYABRAM,175000,187000,195000,210000,195000,210000,200000,217500,237000,235000,240000,3.2
KYNETON,214000,215000,240000,246000,268500,330000,370000,372500,367000,403000,425500,7.1
LAKE BOGA,145000,130000,177000,130000,149000,187000,212500,185000,200000,145000,210000,3.8
LAKE GARDENS,295500,310000,307000,342000,350000,387000,400500,385000,445000,445000,461000,4.5
LAKE TYERS BEACH,207500,228500,250000,255000,235000,286000,285000,274000,270000,354000,330000,4.7
LAKE WENDOUREE,362500,353500,473500,403000,404000,550000,630000,545000,634000,650000,690000,6.6
LAKES ENTRANCE,228000,245000,255000,237500,260000,256500,300000,252500,267500,255000,255500,1.2
LALOR,240000,250000,267500,295000,335000,385000,380000,360000,365000,385000,445000,6.4
LANCEFIELD,220000,238000,227500,243000,260500,281000,321000,315000,380000,362000,360000,5
LANG LANG,195000,202000,215000,245000,254000,260000,310000,277500,285000,295000,320000,5.1
LANGWARRIN,250000,268500,290000,315000,331500,394000,385000,375000,385000,420000,450000,6.1
LARA,246000,250000,260000,273500,282000,325000,327500,335000,350000,340000,348000,3.5
LARA LAKE,265000,275000,274500,277000,303000,338500,355000,355000,361000,394000,375000,3.5
LAUNCHING PLACE,230000,235500,270000,280000,284000,355000,343500,340000,330000,337500,366000,4.7
LAVERTON,185500,185000,220000,265000,310000,351500,340000,320000,325000,360000,377000,7.3
LAVERTON SOUTH,260000,270000,290000,324500,355000,405000,400000,390500,392500,420000,450000,5.6
LENEVA,380000,339000,110000,360000,324000,394000,362000,382000,342000,356000,370500,-0.3
LEONGATHA,219000,235000,220000,240000,253000,285000,280000,287500,300000,295500,305000,3.4
LEOPOLD,250000,262500,277500,282000,309000,340000,340000,350000,360000,367000,365000,3.9
LILYDALE,290000,325000,335000,361500,390000,440000,456000,420000,466500,482500,535000,6.3
LINDENOW,210000,180000,167500,180500,123500,162500,175000,249500,200000,226000,212500,0.1
LINTON,125000,174000,130000,164500,175000,152500,168500,187500,163500,208000,152000,2
LISMORE,95500,118000,120000,100000,110000,134000,145000,132500,110000,109000,115000,1.9
LOCH SPORT,144000,155000,140000,149500,151000,170000,165000,165000,169000,153500,145000,0.1
LOCKINGTON,135000,120000,150000,155000,124000,158000,146500,165000,175000,174000,220000,5
LONG GULLY,167000,175000,171000,174000,180000,210000,220000,220000,232000,255000,244000,3.9
LONGWARRY,185000,165000,205000,197000,246500,262000,275000,286500,289500,297500,302000,5
LORNE,656500,705000,755000,780000,752500,780000,832500,800000,855000,815000,876500,2.9
LOVELY BANKS,257000,303500,302500,350000,353500,365000,385500,402000,360500,406500,388500,4.2
LOWER PLENTY,410000,411000,445500,483000,559000,640000,590000,620000,685000,675000,780000,6.6
LUCAS,0,0,0,0,0,0,0,292500,348000,355000,389500,NA
LUCKNOW,205000,208000,182500,243500,227500,234000,247500,200000,235000,229000,230000,1.2
LYNBROOK,286000,307000,327000,341000,380000,411000,424500,415000,430000,460000,500000,5.7
LYNDHURST,360000,321500,330000,339000,357000,435000,441500,450000,465000,482500,545000,4.2
LYSTERFIELD,345000,396500,420000,463000,496000,640000,642500,643500,681500,670000,772000,8.4
LYSTERFIELD SOUTH,630000,550000,737500,685000,808000,1027500,1000000,830000,931500,1000000,1018500,4.9
MACEDON,285000,305000,345000,360000,393000,473000,434500,525000,480000,460000,532500,6.5
MACLEOD,335000,342500,402000,435000,480000,644000,600000,555000,650000,710000,748000,8.4
MADDINGLEY,227000,218500,265000,265000,258000,290000,300000,308000,316500,320000,330000,3.8
MAFFRA,170000,165000,177000,190000,200000,230500,230000,235000,226500,217500,227500,3
MAIDEN GULLY,265000,280000,308500,330000,336500,385000,408500,424000,440000,415000,430000,5
MAIDSTONE,295000,310000,400000,440000,460000,540000,539000,490000,531000,589500,628000,7.8
MALDON,215000,240000,217500,235000,245000,280000,267500,279500,315000,327500,339000,4.7
MALLACOOTA,271000,260000,250000,244000,272500,300000,278000,267500,285000,280000,268500,-0.1
MALMSBURY,189000,202500,222500,266500,247500,314000,300000,332500,292500,317500,410000,8.1
MALVERN,936000,995000,1405000,1363000,1550000,1740000,1540000,1512500,1470000,1917500,2210000,9
MALVERN EAST,657500,705000,868500,955500,951000,1105500,1100000,1037500,1190000,1385500,1605000,9.3
MANIFOLD HEIGHTS,292500,313000,292500,370000,410500,401000,447500,425000,532500,489000,489500,5.3
MANOR LAKES,280000,287500,279000,289000,311500,349000,360000,345000,341000,360000,370500,2.8
MANSFIELD,259500,235000,245000,230500,250000,280000,300000,315000,357500,347000,359000,3.3
MARIBYRNONG,370500,449000,542000,550000,607500,682000,630000,614000,705500,750000,835000,8.5
MARONG,185000,241500,195000,165000,219000,257500,285000,312500,310000,350000,367500,7.1
MARSHALL,239500,252500,268000,270000,298500,367500,322500,365000,360000,382500,377000,4.7
MARYBOROUGH,135000,140000,130000,140000,152000,160000,180000,182500,194000,200000,186000,3.2
MARYSVILLE,227500,245000,271500,245000,240000,340000,395500,145000,180000,125000,125000,-5.8
MCCRAE,315000,360000,376000,435500,424000,560000,623000,555000,530000,535000,600000,6.7
MCKENZIE HILL,255000,300000,325000,275000,306000,350000,394000,465000,365000,140000,158500,-4.6
MCKINNON,535000,634500,798000,793500,869000,970000,900000,944000,1025000,1215000,1446000,10.5
MEADOW HEIGHTS,232000,233000,240000,255000,300000,345000,321500,315000,316500,322000,350000,4.2
MELTON,173000,175000,182000,205000,218000,250000,256000,250000,245000,240000,255000,4
MELTON SOUTH,168500,172500,178000,195000,218000,248500,245500,230000,240000,242500,265000,4.6
MELTON WEST,215000,220500,222000,249000,265000,292000,311000,308500,310000,305000,323500,4.2
MENTONE,462500,506000,599500,643000,590000,680000,690000,651000,700000,805000,950000,7.5
MENZIES CREEK,320000,317000,365000,372500,343000,482500,475000,465000,515000,428000,580000,6.1
MERBEIN,149000,145000,156500,158500,151000,161000,157000,142500,140500,166500,180000,1.9
MERINDA PARK,200500,196500,210500,240000,277000,300000,305000,285000,310000,310000,345000,5.6
MERNDA,258000,309000,334000,323000,350000,389500,395000,374000,375000,370000,411500,4.8
MERRICKS BEACH,600000,590000,650000,815000,630000,690000,880000,716500,597500,952500,842500,3.5
METUNG,284000,260000,244000,230000,260000,302000,267500,350000,337500,310000,309500,0.9
MICKLEHAM,350000,0,0,0,0,0,0,0,0,440500,380000,0.8
MIDDLE PARK,917500,900000,1342500,1410000,1300000,1500000,1322500,1426000,1600000,2125000,2317000,9.7
MILDURA,190000,199000,211500,200000,205000,220000,222000,225000,225500,245000,252000,2.9
MILL PARK,283000,282000,307500,327500,366000,419000,410000,405000,408000,430500,485000,5.5
MILLGROVE,165500,174000,188000,211000,216500,234000,235000,235000,245000,261000,272500,5.1
MINERS REST,230000,252000,269000,265000,280000,320000,339000,325000,330500,328000,335000,3.8
MINYIP,34500,66000,65000,80000,86500,85000,82500,81000,73500,95000,94000,10.6
MIRBOO NORTH,175000,164500,220000,209500,227500,244000,257000,252000,265000,250000,262000,4.1
MITCHAM,355500,365000,460000,468500,506000,627500,590500,583000,650000,730000,887000,9.6
MITCHELL PARK,200000,188500,191000,228000,229000,257000,247500,270000,281000,254500,260000,2.7
MOE,118500,125000,130000,126500,135000,150000,165000,165000,155000,170000,164000,3.3
MOGGS CREEK,460500,410000,680000,925000,607500,636000,580000,650000,690000,690000,670000,3.8
MONBULK,250000,264000,303000,316000,325500,420000,392500,380000,395000,425000,471500,6.6
MONT ALBERT,673500,705000,955000,1105000,1068500,1310000,1310000,1177500,1316000,1490000,1835500,10.5
MONT ALBERT NORTH,492000,525000,725000,681500,795000,970000,837500,780000,995000,1100000,1355000,10.7
MONTMORENCY,332500,355000,415000,430000,474000,580000,570000,560000,570500,617000,730000,8.2
MONTROSE,280000,293000,332500,358000,387000,439000,435000,426000,445000,476500,560000,7.2
MOONEE PONDS,459000,525000,620000,655000,678500,849000,772500,770000,825000,905000,997000,8.1
MOORABBIN,384000,430000,517500,535000,587500,706500,652000,630500,683500,767000,855000,8.3
MOOROOLBARK,277000,286500,325000,349000,370000,445000,435000,425000,440000,470000,560000,7.3
MOOROOPNA,186000,210000,202500,200000,205000,222000,215000,217500,207000,215000,230000,2.1
MORDIALLOC,376500,400000,491000,535000,568000,645000,640000,640000,680000,752500,850000,8.5
MORNINGTON,314500,345000,365000,405000,426000,510000,520000,504500,525000,560000,630000,7.2
MORTLAKE,135000,150000,135000,156000,156000,150000,146000,152000,129500,152500,120000,-1.2
MORWELL,118500,123000,127500,135000,140000,153000,159500,150500,160000,150000,150000,2.4
MOUNT BEAUTY,158500,175000,180000,190500,180000,195000,173000,140000,180000,200000,189500,1.8
MOUNT CLEAR,220000,233000,239000,227500,235500,265000,286000,305000,286000,291000,322000,3.9
MOUNT DANDENONG,305000,337500,375500,442500,450000,476000,447500,476500,450000,610000,605000,7.1
MOUNT DUNEED,0,0,0,0,0,267000,190000,480000,286000,532000,545000,NA
MOUNT ELIZA,490000,499000,550000,576000,621500,730000,722500,680000,750000,775000,830000,5.4
MOUNT EVELYN,266000,271000,297000,332000,340000,388000,400500,393000,406000,430000,494000,6.4
MOUNT HELEN,250000,258000,266000,280000,307500,309500,355000,325000,344000,367500,355000,3.6
MOUNT MACEDON,500000,410000,415000,424000,460000,520000,525000,543000,670000,600000,642500,2.5
MOUNT MARTHA,415000,480000,501000,555000,605500,705500,690000,715500,727500,725000,767000,6.3
MOUNT PLEASANT,197000,176000,179000,212500,211000,239000,248500,259000,287000,269500,293500,4.1
MOUNT WAVERLEY,425000,462000,603500,650000,690000,800000,745000,733500,819000,950000,1269000,11.6
MULGRAVE,332500,355000,420500,455500,477500,550000,530500,531000,575000,627000,765000,8.7
MURCHISON,143000,158000,160000,180000,166500,177500,165000,183000,186000,155000,165000,1.5
MURRUMBEENA,506500,543000,645500,709000,755500,840000,790000,777500,870000,983000,1200000,9
MURTOA,80000,75000,77000,83000,92500,85000,133000,108500,95000,110000,91000,1.3
MYRTLEFORD,198000,225000,231500,192000,194000,179000,219000,213000,220000,245000,240000,1.9
NAGAMBIE,155000,212500,225500,235000,210500,351500,248000,255000,315000,378000,360500,8.8
NARRE WARREN,242000,259500,272000,300000,321500,369000,363000,356000,370000,385500,430000,5.9
NARRE WARREN NORTH,362000,403500,481000,550000,664000,710000,730000,660000,687000,831500,780000,8
NARRE WARREN SOUTH,283000,299000,310000,335000,360500,405000,405000,405000,410000,440000,480000,5.4
NATHALIA,130000,150000,160000,145500,165000,155000,150000,205000,165000,190500,178000,3.2
NEERIM SOUTH,239000,179500,201500,250000,262500,240000,275000,265000,340000,342500,280000,1.6
NERRINA,235000,185000,233000,400000,300000,381000,387000,467500,455000,482500,522500,8.3
NEW GISBORNE,310000,377500,357000,347500,368000,465000,492000,475000,495000,515000,498000,4.9
NEWBOROUGH,145500,156500,160500,171500,173000,197000,186000,213500,211500,217500,220000,4.2
NEWCOMB,189500,190000,214000,210000,228000,280000,275000,275000,280000,292000,290500,4.4
NEWINGTON,221500,245000,257500,237000,253500,290500,290000,300000,320000,346500,345000,4.5
NEWLANDS ARM,252000,144500,263500,218000,280000,300000,332000,325000,320000,302000,275000,0.9
NEWPORT,386000,422000,505000,521000,555000,651500,680000,630000,692500,740000,810000,7.7
NEWSTEAD,134000,196500,192500,195000,197500,237500,243000,252000,300000,297500,365000,10.5
NEWTOWN (GEELONG),360500,357000,405000,403000,405500,554500,530500,523000,567500,620000,635000,5.8
NHILL,86000,94000,84000,109000,124000,101500,107000,111000,110000,125000,126000,3.9
NIDDRIE,392500,420000,470000,568500,595000,729500,742500,666000,700000,750000,827500,7.7
NOBLE PARK,240500,250000,280000,316000,350000,415000,410000,381000,400000,440000,510000,7.8
NOBLE PARK NORTH,240000,262000,280000,314000,350000,415000,395000,370000,383000,420000,493500,7.5
NORLANE,135500,139500,148000,151500,160000,190000,205000,209000,202500,215500,217000,4.8
NORTH BENDIGO,180000,183500,195000,185000,206000,218000,230000,266000,270000,280000,286000,4.7
NORTH GEELONG,216000,223000,235000,238000,255000,308500,290000,289000,277000,302000,337500,4.6
NORTH MELBOURNE,450000,506500,575000,610000,610000,780000,740000,767000,760000,828000,900000,7.2
NORTH WONTHAGGI,203000,207000,222500,245000,262500,285000,287000,257000,230000,268000,276500,3.1
NORTHCOTE,423500,460000,587000,620000,665500,820000,760000,770000,801000,936000,1008500,9.1
NOTTING HILL,320000,325500,427000,450500,485000,563000,521000,547000,565000,660000,780000,9.3
NUMURKAH,162500,178000,195000,182000,173000,178000,191500,201000,195000,215000,218000,3
NUNAWADING,341000,361000,451500,466000,507000,641500,585000,590000,635000,720000,880000,9.9
NYAH WEST,139000,152500,105500,77000,89000,97500,70000,116500,94000,107500,135000,-0.3
NYORA,190000,170000,207500,195000,182500,237500,215000,225000,222500,265000,245000,2.6
OAK PARK,340000,360000,431000,470000,500000,630000,571000,550000,576500,628500,663000,6.9
OAKLEIGH,411000,430500,556000,567000,618000,715500,699500,628500,655000,801500,989000,9.2
OAKLEIGH EAST,355000,390000,485500,514500,551000,676500,640000,610000,652500,812500,1050500,11.5
OAKLEIGH SOUTH,342000,385500,474000,482500,533500,630000,615000,590000,603000,700000,830000,9.3
OCEAN GROVE,320000,324500,350000,395000,387500,428000,475000,465000,457500,515000,518500,4.9
OFFICER,305000,263000,400000,127000,340000,385000,396000,429000,342000,339000,435000,3.6
OLINDA,306000,317500,342000,360000,378500,452500,520000,445000,496000,520000,542000,5.9
ORBOST,130000,138500,142500,165000,155000,181000,151500,150000,156000,150000,145000,1.1
ORMOND,530000,645000,811000,791000,805500,970000,912500,857500,994000,1187500,1300000,9.4
OSBORNE,312500,330000,360000,380000,422500,465500,490000,507500,530000,541000,578000,6.3
OUYEN,75000,65000,82500,97500,110000,103000,110000,116500,75000,77500,103000,3.2
PAKENHAM,232000,245000,260000,275000,305000,335000,340000,335000,335500,350000,365000,4.6
PARADISE BEACH,154000,150000,132500,134000,170000,152500,159500,212500,163500,178000,188500,2
PARK ORCHARDS,582500,580000,690000,781000,814000,945000,920000,951000,952500,1103000,1225000,7.7
PARKDALE,422000,505000,625000,615000,622500,750000,755000,678500,753500,857000,960000,8.6
PARKVILLE,850000,842500,845000,1085000,1300000,1175000,642500,690000,1186000,1467500,1315000,4.5
PASCOE VALE,345000,347500,420000,450000,502000,595000,562500,535000,579000,655000,711000,7.5
PASCOE VALE SOUTH,368000,382500,442000,506500,550000,655000,607500,627500,645500,700000,740000,7.2
PATTERSON GARDENS,384000,450000,470000,490000,523000,582500,605000,610000,629000,672000,737500,6.7
PATTERSON LAKES,426000,482500,505000,507500,530000,613000,625000,730000,640000,734000,780000,6.2
PAYNESVILLE,252000,251000,265000,310000,276500,290000,319500,290000,283000,300000,300000,1.8
PEARCEDALE,269500,255000,290000,318500,328000,390000,405000,427500,385000,445000,470000,5.7
PENSHURST,125000,96000,121000,118000,142500,147500,165000,83000,144000,132500,191000,4.3
PETERBOROUGH,314000,407500,350000,350000,267500,291500,410000,333000,287500,307500,296500,-0.6
PIONEER BAY,148000,157000,165500,185000,184500,235000,197500,235000,200000,220000,235000,4.7
PLENTY,328500,440000,605000,720000,715000,900000,730000,770000,721000,750000,915500,10.8
PLUMPTON,325000,0,0,315000,390000,360000,291000,482500,439000,406500,469000,3.7
POINT COOK,318000,330000,351000,369500,399000,435000,442000,435000,450000,450000,488000,4.4
POINT LONSDALE,510000,475000,482500,487500,555000,695000,653000,700000,700000,710000,690000,3.1
POREPUNKAH,230000,278000,310000,260000,257500,320000,276000,285000,347000,285000,326000,3.5
PORT FAIRY,292500,300000,345000,294000,331500,392000,382500,410000,400000,427500,450000,4.4
PORT MELBOURNE,582500,630000,787500,763500,845000,912500,867500,935000,1000000,1010000,1274500,8.1
PORTARLINGTON,282000,286000,290000,295000,345000,380000,427500,390000,391000,410000,410000,3.8
PORTLAND,178000,192000,215000,210000,195000,220000,237000,227500,235000,210000,218500,2.1
PORTLAND NORTH,135000,103500,180000,122500,225000,115000,215000,226500,300000,248000,330000,9.3
PORTSEA,900000,1002500,925000,1380000,1075000,1375000,1625000,1375000,1195000,1310000,1800000,7.2
PRAHRAN,595000,653000,780000,804000,855000,710000,833000,915000,990000,1175000,1350000,8.5
PRESTON,345000,369500,452000,465000,515000,610500,600000,580000,630000,689500,792000,8.7
PRINCES HILL,634000,645000,799000,800000,871000,1027500,967500,928500,1216500,1210000,1280000,7.3
QUARRY HILL,196500,243500,232000,250000,259000,295500,292500,300000,385000,355000,377500,6.7
QUEENSCLIFF,437500,475000,605000,525000,580000,680000,577500,697500,630000,695000,707500,4.9
RAINBOW,60000,57500,59000,64500,69000,70000,71500,69000,64500,77000,68000,1.3
RAYMOND ISLAND,235000,291500,240000,365000,242000,277500,262500,304500,297500,280000,282500,1.9
RED CLIFFS,144500,160000,146500,160000,145000,160000,170000,162500,165000,166000,175000,1.9
RED HILL,349000,388000,451000,385000,519000,615000,630000,585000,522500,650000,645000,6.3
REDAN,175000,185000,187000,190000,195000,230000,227500,237000,250000,245000,249500,3.6
RESEARCH,395500,390000,455000,508500,530000,614500,657000,622500,605500,685000,686000,5.7
RESERVOIR,291000,301500,359500,388000,426500,515000,500000,465000,510000,541000,611000,7.7
RHYLL,287500,288000,342500,295000,387500,410000,410000,400000,393000,482000,403500,3.4
RICHMOND,507000,560000,685500,690000,705000,825000,800000,807500,889000,961000,1125000,8.3
RIDDELLS CREEK,280000,270000,275000,359000,315000,379000,450000,377500,450000,435000,449000,4.8
RINGWOOD,310000,333500,382500,420000,455000,551500,505000,500000,551000,661000,782500,9.7
RINGWOOD EAST,315000,319000,380000,415000,440500,530000,520000,490000,547000,612000,750000,9.1
RINGWOOD NORTH,365000,396000,454500,440500,489000,581500,569000,564000,631500,662000,781000,7.9
RIPPLESIDE,303000,348000,402000,406500,390000,717500,510000,420000,590000,525000,582000,6.7
RIPPONLEA,494000,705000,705000,1020000,775000,1325000,830000,967500,845000,977500,1400000,11
ROBINVALE,142000,135000,180000,180000,186500,145000,138000,179000,150000,160000,181500,2.5
ROCHESTER,165000,180000,178000,184000,175000,155000,185000,210000,189500,215000,234000,3.6
ROCKBANK,197500,180000,189000,237500,215000,237000,251000,262000,330000,280000,211000,0.7
ROMSEY,235000,274500,254000,284000,302500,350000,363000,367500,387500,392000,420000,6
ROSANNA,395000,428500,526500,595000,588000,695500,727500,652500,717000,781500,915000,8.8
ROSEBUD,236000,236500,255000,290000,310000,355000,360000,350000,367000,365000,388000,5.1
ROSEBUD SOUTH,278500,293000,299500,370000,347500,420000,460000,450000,425000,500000,514500,6.3
ROSEBUD WEST,237000,233000,271000,293000,305000,355000,372500,330000,350000,365000,390000,5.1
ROSEDALE,165000,130000,160000,174500,165000,185000,189000,209000,215000,210000,175000,0.6
ROWVILLE,341500,360000,403500,439500,467000,537500,527000,530000,569000,617500,710000,7.6
ROXBURGH PARK,275000,277000,280000,295000,340000,371000,360000,355000,365000,380000,404000,3.9
RUPANYUP,88000,68000,77000,75000,54500,129000,100000,127000,75000,105000,50000,-5.5
RUSHWORTH,130000,143000,153500,151500,150000,147500,155000,190000,161000,158000,177000,3.1
RUTHERGLEN,179000,200000,195000,201500,176000,175000,207000,235000,239000,195000,228500,2.5
RYE,275000,285000,330000,357500,380000,435500,440000,422000,425000,460000,489000,5.9
SAFETY BEACH,400000,385000,412500,446000,406500,495000,553000,550000,515000,522500,585000,3.9
SAILORS GULLY,182500,180000,165000,210500,192500,213500,265000,257500,253000,262500,235000,2.6
SALE,199000,210000,230000,253000,250000,275000,291500,273500,290000,300000,299500,4.2
