locality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,growth_pa
BENDIGO,200000,229500,254000,232000,235000,295000,290000,335000,340000,375000,355000,5.9
BENTLEIGH,502000,535000,720000,714000,742500,905000,875000,820000,900000,1050000,1216500,9.3
BENTLEIGH EAST,401500,445000,565500,595000,630500,760000,720000,680000,750000,849000,993500,9.5
BERWICK,292000,308000,330500,350000,382500,450000,440000,450000,452500,488000,535000,6.2
BEVERIDGE,280000,280000,266500,266500,266500,522500,416500,412500,396000,422500,422500,4.2
BIRCHIP,70000,75000,50000,80000,62000,67500,77000,87500,120000,90000,121500,5.6
BIRREGURRA,172000,176500,209000,246500,250000,230000,260000,274000,255000,337500,302500,5.8
BITTERN,230000,247500,267000,285000,302000,347000,365000,391000,402000,390000,380000,5.1
BLACK HILL,229000,204000,204000,213500,243500,263500,292000,260000,283500,321500,291500,2.4
BLACK ROCK,790000,900000,1030000,1042500,1236500,1390000,1237500,1182500,1225000,1400000,1577500,7.2
BLACKBURN,422500,453000,626500,605000,700000,850000,771000,750000,860500,936000,1190000,10.9
BLACKBURN NORTH,362000,385000,490000,499000,540000,650000,617000,609000,692000,790000,920000,9.8
BLACKBURN SOUTH,380000,401000,495000,510000,545000,670000,639000,632000,700000,780000,920000,9.2
BLACKWOOD,189000,172000,195000,220000,261500,260000,263000,245000,310000,266000,260000,3.2
BLAIRGOWRIE,350000,395000,440000,463000,520000,625000,600000,580000,609000,630000,620000,5.9
BLIND BIGHT,235000,235000,257000,270000,321000,337500,358000,319000,362500,343000,401000,5.5
BONBEACH,365500,416500,442500,491000,505000,585000,552500,540000,577500,630000,700000,6.7
BONNIE DOON,190000,160000,168000,147000,182500,210000,211500,260000,250000,275000,285000,4.1
BOOLARRA,162500,149500,166500,150000,172000,178000,209000,190000,196500,260000,212500,2.7
BOORT,110000,127000,122500,102500,106000,157500,164000,107000,157500,162500,130000,1.7
BORONIA,270000,282500,323000,340500,380000,450000,437000,430000,459500,500000,587000,8.1
BOTANIC RIDGE,0,367000,502500,305000,472500,520000,487500,500000,493500,519000,564000,NA
BOX HILL,487000,573000,651000,730000,780000,874000,920000,825000,870000,1160000,1500000,11.9
BOX HILL NORTH,396000,417500,545000,567000,602500,726000,683000,648500,745000,858000,1056000,10.3
BOX HILL SOUTH,400000,445000,576000,585000,601000,817000,765000,715000,785000,907500,1153000,11.2
BRAYBROOK,220000,226000,283000,341000,375000,447500,439000,396000,424500,478500,550000,9.6
BREAKWATER,194000,179500,199000,210000,227000,251500,252500,242500,255000,251500,267500,3.3
BRIAGOLONG,155000,141000,170000,172000,180000,205000,225000,215000,226000,200000,215000,3.3
BRIAR HILL,341000,363500,382000,410000,450000,575000,545500,541500,575000,627000,681000,7.2
BRIDGEWATER ON LODDON,130000,235000,133000,146500,160000,230000,160000,175000,172500,197500,245000,6.5
BRIGHT,271000,250000,265000,240000,297500,311500,325000,340000,315000,349500,392500,3.8
BRIGHTON,1100000,1242500,1600000,1550000,1685000,1800000,1735000,1787500,1786000,1905000,2272500,7.5
BRIGHTON EAST,712000,767500,960000,980000,1070000,1255000,1100000,1073000,1227500,1300500,1600000,8.4
BROADFORD,190000,199000,210000,210000,223000,250000,259500,268500,290000,267000,267500,3.5
BROADMEADOWS,205000,207000,225000,270000,320000,390000,357000,320000,325000,345000,370500,6.1
BROOKFIELD,269000,260000,264000,277500,307500,333500,341000,332000,330000,350500,340000,2.4
BROOKLYN,265000,269000,319500,400000,400000,480000,485000,470000,491000,540000,598500,8.5
BROWN HILL,185000,215000,197000,200000,228000,257500,258500,300000,310000,286500,270000,3.9
BRUNSWICK,395000,425000,525000,540000,605000,692500,640000,658000,720000,806000,860000,8.1
BRUNSWICK EAST,386500,420000,510000,565000,630000,693000,695000,710000,750000,819500,888000,8.7
BRUNSWICK WEST,394500,418000,558000,547500,600000,717500,695000,650000,745000,790000,862500,8.1
BULLEEN,410000,475500,595000,640000,640000,726000,720000,707000,780000,860000,1054000,9.9
BUNDALONG,254000,290000,350000,305000,430000,390000,500000,385000,337500,336500,370000,3.8
BUNDOORA,295000,320000,360000,383500,413000,500000,489000,480000,530000,553500,600000,7.4
BUNINYONG,243000,252500,229000,249000,270000,322500,307500,376500,349000,385000,359000,4
BUNYIP,211000,255000,275000,280000,282500,290000,342500,342500,332500,325000,420000,7.1
BURNLEY,471500,467500,592500,551000,757500,800000,810000,800000,836000,1100000,999000,7.8
BURNSIDE,274000,280000,285000,310000,345000,395000,410000,385000,390000,401000,420000,4.4
BURNSIDE HEIGHTS,308000,285000,305000,320000,350000,405000,405000,418500,427000,442500,457500,4
BURWOOD,447500,480000,610000,651000,658000,778000,789000,765000,780000,921000,1188000,10.3
BURWOOD EAST,370000,390500,500000,510500,570000,678000,630000,617000,685000,780000,980000,10.2
CAIRNLEA,330000,335000,327000,360000,390000,463000,478500,440000,480000,545000,565500,5.5
CALIFORNIA GULLY,175000,178000,178000,196000,209000,209500,240000,255000,252500,262000,256500,3.9
CAMBERWELL,732000,850000,1036500,1010000,1151000,1323000,1316000,1300000,1383500,1650000,1916500,10.1
CAMPBELLFIELD,248000,245000,264000,286000,320000,380000,360000,330000,330000,338000,374000,4.2
CAMPBELLS CREEK,205000,242500,210000,225000,247500,316000,340000,343500,379000,345000,384000,6.5
CAMPERDOWN,162500,166000,188500,180000,177000,185000,180000,183500,220000,186000,218000,3
CANADIAN,237000,195000,233500,254000,253000,291500,298000,290000,325000,297000,339500,3.7
CANTERBURY,1006000,1200000,1575000,1605000,1675000,1816000,1730000,1790000,1950000,2100000,2481500,9.4
CAPE PATERSON,266500,277000,270000,305000,312000,332500,420000,348000,337000,332000,350000,2.8
CAPE SCHANCK,352500,431000,379000,380000,520000,545000,477500,655000,620000,557500,655000,6.4
CARDIGAN VILLAGE,175000,206000,185000,293500,223500,328500,280000,362000,312500,265000,415000,9
CARISBROOK,157000,155000,145000,150000,151000,205500,134500,192500,218500,238500,200000,2.5
CARLTON,455000,493000,785000,740000,631500,840000,857000,707000,880000,957000,1201000,10.2
CARLTON NORTH,540000,597000,735000,715000,785000,930500,831000,940000,890500,1095000,1177500,8.1
CARNEGIE,493000,575000,723000,717500,776000,870000,900000,836000,863000,995000,1263500,9.9
CAROLINE SPRINGS,285000,295000,310000,325000,364000,408500,420000,427500,435000,460000,480000,5.4
CARRUM,305000,320500,380000,450000,435000,500000,497000,499000,516000,535000,605500,7.1
CARRUM DOWNS,230000,240000,256500,275000,297000,330000,345000,334500,330000,346500,370000,4.9
CASTERTON,90000,106000,93000,115000,101500,117500,106500,110000,97500,99000,100000,1.1
CASTLEMAINE,217500,225000,219500,245000,255000,300000,322500,338000,372500,369500,380000,5.7
CAULFIELD,640000,720000,910000,912500,926000,1180000,1125000,1067500,1172500,1322000,1650000,9.9
CAULFIELD EAST,490000,502500,710000,727500,818000,862500,760000,750000,845000,1168000,1165000,9
CAULFIELD NORTH,780000,917500,1120000,1160000,1180000,1400000,1300000,1320000,1401000,1487500,1867500,9.1
CAULFIELD SOUTH,575000,642500,850000,821000,850000,1004000,903500,890500,1050000,1200000,1375000,9.1
CHADSTONE,357500,405000,494000,549000,570000,660000,626000,595000,711000,821500,939000,10.1
CHARLTON,109500,91500,100000,129000,89000,125000,117000,123000,120000,131000,179500,5.1
CHELSEA,332000,355000,415000,431500,470000,585000,525000,545000,577500,580000,730000,8.2
CHELSEA HEIGHTS,307000,305500,356000,385000,405500,445000,454000,440000,465000,513000,600000,6.9
