region_id,english_only_2011,arabic_2011,chinese_2011,greek_2011,italian_2011,vietnamese_2011
Footscray,5353,106,1084,298,243,1562
Forest Hill,6389,33,1390,321,174,182
Foster,7409,0,5,11,64,4
Frankston,17690,90,282,209,178,24
Frankston North,15919,93,172,166,99,20
Frankston South,15198,34,126,158,190,11
French Island,84,0,0,0,3,0
Gannawarra,5964,6,3,0,10,0
Geelong,10613,31,164,123,259,33
Geelong West  Hamlyn Heights,15724,40,123,137,421,36
Gisborne,9961,10,45,36,108,9
Gladstone Park  Westmeadows,11003,810,216,541,1209,95
Glen Iris  East,12642,22,781,536,225,128
Glen Waverley  East,10747,74,4349,462,197,244
Glen Waverley  West,8534,83,4512,534,211,370
Glenelg ,8142,3,6,7,8,6
Glenroy  Hadfield,13413,2469,586,852,2353,278
Golden Plains  North,3703,3,0,6,3,3
Golden Plains  South,5661,0,3,5,29,3
Gordon ,4960,3,3,12,30,6
Greensborough,16999,89,297,252,589,45
Greenvale  Bulla,6799,660,105,376,1593,52
Grovedale,17688,28,156,25,113,21
Hallam,4664,391,375,85,146,75
Hamilton ,9491,0,39,10,8,10
Hampton,13251,110,277,389,264,23
Hampton Park  Lynbrook,11763,314,660,143,131,370
Hastings  Somers,18488,17,29,22,44,18
Hawthorn,14557,126,1265,377,278,236
Hawthorn East,9752,41,790,341,198,65
Healesville  Yarra Glen,11716,10,21,32,90,3
Heathcote,3624,7,6,6,20,3
Heidelberg  Rosanna,10402,107,518,287,681,48
Heidelberg West,8169,402,611,326,341,254
Highton,16738,103,296,74,188,21
Hillside,9694,411,232,464,630,120
Hoppers Crossing  North,12726,357,289,210,491,149
Hoppers Crossing  South,12213,322,436,155,341,200
Horsham,14624,19,46,21,89,4
Horsham Region,3165,0,3,0,0,0
Hughesdale,3897,34,616,906,150,65
Hurstbridge,3271,4,3,9,17,0
Irymple,5596,0,20,75,264,5
Ivanhoe,8239,55,548,386,420,76
Ivanhoe East  Eaglemont,5901,50,215,260,462,28
Kangaroo Flat  Golden Square,16861,13,71,30,22,6
Keilor,5562,133,132,307,845,93
Keilor Downs,6332,510,334,711,609,987
Keilor East,12455,472,909,1373,3531,984
Kensington,6605,85,817,61,189,336
Kerang,3551,0,7,8,6,0
Kew,17058,87,1877,749,553,303
Kew East,4372,29,446,328,264,74
Keysborough,7913,208,1883,441,395,2671
Kilmore  Broadford,10758,7,65,33,88,3
Kilsyth,7529,10,31,28,50,6
Kinglake,3126,0,3,20,22,0
Kings Park ,4096,390,614,297,195,2547
Kingsbury,5289,197,1406,419,497,391
Knoxfield  Scoresby,9553,54,951,169,134,137
Koo Wee Rup,5923,0,10,17,108,0
Korumburra,7990,0,10,14,106,0
Kyabram,9625,7,15,18,176,0
Kyneton,8103,9,27,31,40,3
Lake King,0,0,0,0,0,0
Lakes Entrance,8551,6,38,32,69,3
Lalor,6143,2036,449,1635,1961,1192
Langwarrin,20602,73,83,94,143,9
Lara,13141,34,30,33,115,82
Laverton,2814,87,169,33,42,85
Leongatha,9308,3,12,7,126,12
Leopold,9060,10,41,48,118,12
Lilydale  Coldstream,16032,25,103,36,379,9
Lockington  Gunbower,3412,0,3,3,8,0
Loddon,6377,6,6,12,15,3
Longford  Loch Sport,3352,0,0,7,12,0
Lorne  Anglesea,4213,3,35,22,23,9
Lynbrook  Lyndhurst,6158,123,472,122,92,164
Lysterfield,5298,99,113,124,166,8
Macedon,2890,0,0,7,24,0
Maffra,12109,3,32,3,18,5
Maiden Gully,4135,0,5,9,3,3
Malvern  Glen Iris,14499,36,780,750,221,53
Malvern East,13995,34,1392,1216,327,166
Mansfield ,9567,15,86,36,42,5
Maribyrnong,4534,78,1331,192,373,1315
Maryborough ,7139,3,8,8,15,3
Maryborough Region,4629,0,7,3,12,0
Meadow Heights,3707,2282,58,202,153,735
Melbourne,11706,371,5805,98,221,245
Melbourne Airport,286,0,0,3,10,0
Melton,14001,170,109,149,163,68
Melton South,12680,87,85,97,144,93
Melton West,11391,124,71,80,115,91
Mentone,8863,53,300,499,190,16
Merbein,4239,0,0,19,96,0
Migratory  Offshore  Shipping ,801,0,8,8,8,3
Mildura,25793,130,122,261,655,99
Mildura Region,3581,3,26,5,5,9
Mill Park  North,10003,706,514,971,1391,167
Mill Park  South,6849,461,463,711,598,266
Mitcham ,10802,53,1325,119,263,130
Moe  Newborough,14611,33,65,81,88,12
Moira,2358,0,0,0,9,0
Monbulk  Silvan,4862,3,19,6,83,0
Montmorency  Briar Hill,13689,39,161,125,262,14
Montrose,5912,7,17,10,34,0
Moonee Ponds,9495,74,279,482,1179,91
Moorabbin  Heatherton,5462,95,399,378,207,27
Moorabbin Airport,0,0,0,0,0,0
Mooroolbark,18028,67,244,80,236,22
Mooroopna,6848,12,20,9,115,0
Mordialloc  Parkdale,15190,38,295,544,260,20
Mornington,19714,12,91,122,174,6
Morwell,11505,113,71,115,534,11
Mount Baw Baw Region,5595,0,9,8,33,0
Mount Dandenong  Olinda,8646,0,25,37,41,0
Mount Eliza,15031,23,184,127,104,8
Mount Evelyn,8629,15,27,29,56,16
Mount Martha,15017,11,25,94,137,3
Mount Waverley  North,8747,50,2198,846,219,144
Mount Waverley  South,10336,69,1983,1079,375,189
Moyne  East,6174,3,8,0,4,0
Moyne  West,8259,3,16,6,20,3
Mulgrave,8992,202,1803,1574,649,564
Murrumbeena,5628,40,541,521,141,48
Myrtleford,3802,11,12,0,432,0
Nagambie,3108,3,13,14,22,0
Narre Warren,17076,402,723,224,301,168
Narre Warren North,5232,63,152,102,227,16
Narre Warren South,19363,451,487,211,269,100
Newcomb  Moolap,12929,17,40,41,218,39
Newport,11823,485,198,496,402,106
Newtown ,8478,22,117,35,99,9
Nhill Region,6536,4,13,9,12,0
Niddrie  Essendon West,4702,55,135,167,378,45
Noble Park,10447,532,1479,584,542,2967
Noble Park North,3134,239,263,500,191,391
North Geelong  Bell Park,9261,38,81,83,501,35
North Melbourne,8275,292,2119,110,254,345
Northcote,16031,235,434,2175,1015,263
Numurkah,11170,6,4,13,81,0
Nunawading,7307,40,1158,170,165,201
Oakleigh  Huntingdale,10470,189,1725,2383,944,209
Ocean Grove  Barwon Heads,16477,3,38,38,74,6
Orbost,6271,0,26,0,32,3
Ormond  Glen Huntly,6891,44,1058,407,126,79
Otway,2751,6,7,23,8,0
Pakenham  North,11122,58,52,49,63,3
Pakenham  South,17840,112,125,43,90,57
Panton Hill  St Andrews,4565,0,12,16,34,3
Parkville,4986,35,808,69,147,43
Pascoe Vale,12492,861,526,780,1929,103
