area_code, dths_suic_0_74_1_no_1_08_12_12
240101374,null
240101375,null
240101376,null
240102834,null
240104904,9.0548847
240151011,null
240151014,5.0418315
240154250,null
240156430,10.9962681
240158249,0.0
240158349,null
240204851,6.03882
240204854,15.9836773
240205621,4.9902382
240205622,9.013834
240208149,null
245053351,null
245056671,null
245057170,19.0
245103352,null
245106701,14.4789408
245106704,null
245106705,4.8415023
245150111,null
245150112,null
245156672,null
245158109,0.0
245158309,0.0
250052111,16.7237764
250052113,null
250052115,null
250052117,null
250156811,7.0733165
250156812,null
250156813,6.5989316
250156814,5.5631167
250156815,6.9453055
255050831,null
255053811,14.308336
255053814,19.8561767
255053815,22.3282226
255053818,null
255100835,27.8996556
255107458,null
255108209,null
255200741,9.0
255200744,15.0097751
255206171,6.6617934
255206174,null
255206175,5.9723854
255208529,0.0
255208649,null
340104773,7.0484234
340104775,null
305011067,1.88933211008284
305011143,2.7326401004955
340104777,8.0
405205345,13.3463476
305011146,4.55579593830693
305011274,1.99829013257897
340107342,7.999999
305011187,1.81811056820365
305011227,6.25745923195258
305111416,0.0
305011277,6.64170025093149
305011315,3.64256680792182
340107345,11.0
305011304,7.98304311459205
345057031,2.31743667446926
305011378,null
305011427,6.0319161253856
345057033,4.472772094166
305011421,8.8230024
305011607,9.19663903885636
405057143,16.3412614
305011454,null
305011631,5.90700413179635
345057001,2.78753600944787
305011481,3.35743319207818
305071375,1.75771553710536
305011525,6.1786175956201
305011528,4.71156396119757
305031004,null
305031007,2.41095834229867
305031026,3.65826979265554
305031031,5.13807767524752
305031151,5.64502458378673
305031048,3.87922632475247
305031244,1.80950482980844
305031132,1.3257759456838
305031293,null
305071467,0.0
405150124,6.3273833
305031162,2.56098448108632
350105786,0.0
305031206,3.18217350193511
305031345,2.3281332628239
305031241,2.25163676042677
305031255,3.34172960734446
350105788,0.0
305031271,2.4938539390642
305031312,8.0
350106070,null
350106812,8.0
305031424,1.90424554702893
305031618,1.65903427892885
350106814,null
305031446,5.86112097714908
305031506,null
305031536,6.34539781591264
305071318,4.40011172680241
305031522,2.8616028128031
305031533,5.65460218408736
305071585,2.36020246513957
305031558,null
305091042,1.57866512142415
305091086,2.48181993227026
305031623,5.06795346377578
350106816,5.0
350106818,22.0
305031634,4.60391327340032
305031574,5.0
350106950,null
405205346,25.9760566
305071045,null
410053920,null
410102750,null
305071301,2.19004970680206
305071018,0.725967027396871
305071078,5.37117575504318
305071034,6.93080056182354
305071037,null
305071084,2.27164457105255
410150125,null
410150128,8.0160378
305071053,3.85015995550498
305091116,3.6586643198996
305071064,4.87071363390363
305071306,null
305071072,9.60386014485137
305071121,4.32451220787945
410154554,10.6082897
305071075,3.93253891132388
615150210,6.0022319
305071127,5.27525773990258
305071203,2.61314177054722
305071135,3.09911922120612
305071138,2.3219688988158
410200221,7.4670134
305071167,7.52163177670424
305071288,5.82928375237693
410200224,8.6353242
305071173,2.04213163209166
305071236,2.34404485582239
305071176,8.09972533276991
350106968,0.0
305071184,2.766110289457
410208050,13.1425744
305071211,2.15290554740068
305111094,4.55051672468836
305071217,3.85845981549631
305071222,1.86908778020149
305071296,1.52713731326712
305071353,1.83274974347491
410208750,null
415050430,null
305071408,0.861120982103583
345057018,1.48756809135701
305071323,1.33736006032735
350106972,0.0
305071326,4.82221488797096
305071383,2.04842820912442
305111402,1.12695925480405
305071386,2.27733971709815
415051560,6.9827185
305071435,null
345057054,3.10011214668418
305091015,8.96526474505224
305071442,null
305071451,2.94734599464329
305071465,0.199722119172239
305071473,1.79334900254137
305071484,0.691738854848933
415058831,null
415058834,null
415058969,null
415101140,6.0401476
305071487,1.69297626656616
305071567,10.9418188313932
305071514,3.89709766801379
305071517,4.05265400535671
305071556,4.95979847402989
305071593,null
305071596,8.47836822329576
305071604,3.57891187997809
305071612,1.97100039415573
305071653,4.56281415521722
415102110,4.980656
415108130,4.898256
615151810,null
305091285,1.75752222077331
305091097,6.30612195737235
305111154,6.25041833559322
305091102,2.74112305983876
420053791,null
420053794,null
305111023,0.76217366440678
305091108,8.15670801739684
305091113,6.32647780533121
305091157,9.0
305091563,2.9244910558167
305091645,1.25611539642274
420054210,7.674505
305091195,2.51195013256289
305111012,3.10688926999017
420056671,null
615152010,0.0
305091214,2.18968085494776
305091247,null
305091258,1.93951464630559
305091282,2.31096352340999
305091391,4.42934320357726
420056674,9.2747508
420059039,0.0
420103080,null
305091397,4.39815074885298
305091432,3.28496115874537
420105040,13.8940498
420107290,null
305091648,null
420107800,null
305111001,2.74335501507298
420109109,null
425053360,null
510151260,18.0100309
510200770,null
305111057,null
305111091,null
510200840,null
710304505,null
305111123,0.0
305111405,3.79251739333006
305111331,null
305111198,6.66789318372254
305111251,null
305111265,1.46555253656903
510205180,10.7490692
305111364,1.95551322277006
510206300,0.0
305111337,1.64136037651277
305111356,2.19965543061008
515051080,0.0
305111367,5.40312640071717
305111492,1.92070361187621
305111372,3.63162271603727
305111394,0.0
515053640,null
305111463,4.97323193000982
305111498,null
305111413,null
305111456,1.41882707237199
515054130,null
620050611,14.1994074
620050811,15.7418157
305111511,4.8331282
515054550,null
515059320,null
305111495,0.345470822239066
305111541,1.36936227531164
305111547,3.19236091283697
305111503,6.33210681627746
305205039,19.0
305205056,14.7749758
305253962,59.027347
305111552,6.64078933678891
305253965,32.9734622
305111571,6.0
305111588,3.08276987748005
305253966,null
305253971,null
305253976,10.0290407
305111601,null
305111615,0.0769386204428636
305111626,3.6427669361095
515100081,12.4356504
305111642,6.5411099117877
305205019,11.999997
305111637,6.99333755164328
345057058,0.812441034510368
305304595,5.34475680114091
515100084,6.5650561
305304597,5.52691285464249
305205021,11.8742491
515102240,0.0
515102730,null
305205023,17.8522358
305205025,19.1854173
305205027,6.8181661
305205028,null
305304605,2.1201195751619
515107210,null
305304631,7.18511591103129
305304601,20.29354
345057071,1.40767446618422
520050910,null
305304603,2.0228392595552
520052310,null
620051610,13.1184583
305304606,7.76075541822425
305304607,4.26024762851401
620053811,5.7273948
620055411,7.3530684
305304608,5.2762718582287
305304611,28.9414061417713
620100612,null
620100812,null
305304612,14.7879329827006
620101210,5.0
305304615,8.01211879078439
305304627,null
305304618,6.0
305405051,null
305304623,21.0
305304626,3.67099548391279
305506264,2.24703719014912
305304634,6.3826408310028
305506265,7.09391753770201
305506267,3.38241987117677
620103210,null
305304642,2.85142664380952
305304637,5.45509066999728
307103555,4.15600662030931
620103410,0.0
620103812,0.0
620105412,null
